Date_last_updated_AEDT,date,countryname,Confirmed,Deaths,Recovered
3/30/2020 09:16,2020-03-30,Kazakhstan,294,1,20.0
3/30/2020 09:16,2020-03-30,Kenya,42,1,1.0
3/30/2020 09:16,2020-03-30,Kuwait,266,0,72.0
3/30/2020 09:16,2020-03-30,Kyrgyzstan,94,0,0.0
3/30/2020 09:16,2020-03-30,Laos,8,0,0.0
3/30/2020 09:16,2020-03-30,Latvia,376,0,1.0
3/30/2020 09:16,2020-03-30,Lebanon,446,11,32.0
3/30/2020 09:16,2020-03-30,Liberia,3,0,0.0
3/30/2020 09:16,2020-03-30,Libya,8,0,0.0
3/30/2020 09:16,2020-03-30,Liechtenstein,62,0,0.0
3/30/2020 09:16,2020-03-30,Lithuania,484,7,1.0
3/30/2020 09:16,2020-03-30,Luxembourg,1950,21,40.0
3/30/2020 09:16,2020-03-30,MS Zaandam,2,0,0.0
3/30/2020 09:16,2020-03-30,Macau,38,0,10.0
3/30/2020 09:16,2020-03-30,Madagascar,39,0,0.0
3/30/2020 09:16,2020-03-30,Malaysia,2626,37,479.0
3/30/2020 09:16,2020-03-30,Maldives,17,0,13.0
3/30/2020 09:16,2020-03-30,Mali,25,2,0.0
3/30/2020 09:16,2020-03-30,Malta,156,0,2.0
3/30/2020 09:16,2020-03-30,Martinique,93,1,0.0
3/30/2020 09:16,2020-03-30,Mauritania,5,0,2.0
3/30/2020 09:16,2020-03-30,Mauritius,110,3,0.0
3/30/2020 09:16,2020-03-30,Mayotte,82,0,10.0
3/30/2020 09:16,2020-03-30,Mexico,993,20,35.0
3/30/2020 09:16,2020-03-30,Moldova,263,2,13.0
3/30/2020 09:16,2020-03-30,Monaco,46,1,1.0
3/30/2020 09:16,2020-03-30,Mongolia,12,0,2.0
3/30/2020 09:16,2020-03-30,Montenegro,91,1,0.0
3/30/2020 09:16,2020-03-30,Montserrat,5,0,0.0
3/30/2020 09:16,2020-03-30,Morocco,516,27,13.0
3/30/2020 09:16,2020-03-30,Mozambique,8,0,0.0
3/30/2020 09:16,2020-03-30,Myanmar,10,0,0.0
3/30/2020 09:16,2020-03-30,Namibia,11,0,2.0
3/30/2020 09:16,2020-03-30,Nepal,5,0,1.0
3/30/2020 09:16,2020-03-30,Netherlands,11750,864,250.0
3/30/2020 09:16,2020-03-30,New Caledonia,15,0,0.0
3/30/2020 09:16,2020-03-30,New Zealand,589,1,63.0
3/30/2020 09:16,2020-03-30,Nicaragua,4,1,0.0
3/30/2020 09:16,2020-03-30,Niger,22,3,0.0
3/30/2020 09:16,2020-03-30,Nigeria,111,1,3.0
3/30/2020 09:16,2020-03-30,North Macedonia,259,6,3.0
3/30/2020 09:16,2020-03-30,Norway,4393,31,12.0
3/30/2020 09:16,2020-03-30,Oman,179,0,29.0
3/30/2020 09:16,2020-03-30,Pakistan,1625,20,29.0
3/30/2020 09:16,2020-03-30,Palestine,115,1,18.0
3/30/2020 09:16,2020-03-30,Panama,989,24,4.0
3/30/2020 09:16,2020-03-30,Papua New Guinea,1,0,0.0
3/30/2020 09:16,2020-03-30,Paraguay,64,3,1.0
3/30/2020 09:16,2020-03-30,Peru,852,18,16.0
3/30/2020 09:16,2020-03-30,Philippines,1546,78,42.0
3/30/2020 09:16,2020-03-30,Poland,1905,26,7.0
3/30/2020 09:16,2020-03-30,Portugal,6408,140,43.0
3/30/2020 09:16,2020-03-30,Qatar,634,1,48.0
3/30/2020 09:16,2020-03-30,Reunion,183,0,1.0
3/30/2020 09:16,2020-03-30,Romania,1952,46,206.0
3/30/2020 09:16,2020-03-30,Russia,1836,9,66.0
3/30/2020 09:16,2020-03-30,Rwanda,70,0,0.0
3/30/2020 09:16,2020-03-30,Saint Kitts and Nevis,7,0,0.0
3/30/2020 09:16,2020-03-30,Saint Lucia,9,0,1.0
3/30/2020 09:16,2020-03-30,Saint Martin,11,0,0.0
3/30/2020 09:16,2020-03-30,San Marino,230,25,13.0
3/30/2020 09:16,2020-03-30,Saudi Arabia,1299,8,66.0
3/30/2020 09:16,2020-03-30,Senegal,162,0,27.0
3/30/2020 09:16,2020-03-30,Serbia,741,14,42.0
3/30/2020 09:16,2020-03-30,Seychelles,8,0,0.0
3/30/2020 09:16,2020-03-30,Singapore,844,3,212.0
3/30/2020 09:16,2020-03-30,Sint Maarten,6,0,0.0
3/30/2020 09:16,2020-03-30,Slovakia,336,0,7.0
3/30/2020 09:16,2020-03-30,Slovenia,756,11,10.0
3/30/2020 09:16,2020-03-30,Somalia,3,0,0.0
3/30/2020 09:16,2020-03-30,South Africa,1280,2,31.0
3/30/2020 09:16,2020-03-30,South Korea,9661,158,5228.0
3/30/2020 09:16,2020-03-30,Spain,85195,7340,16780.0
3/30/2020 09:16,2020-03-30,Sri Lanka,122,1,15.0
3/30/2020 09:16,2020-03-30,St. Barth,5,0,0.0
3/30/2020 09:16,2020-03-30,St. Vincent Grenadines,1,0,1.0
3/30/2020 09:16,2020-03-30,Sudan,6,2,0.0
3/30/2020 09:16,2020-03-30,Suriname,8,0,0.0
3/30/2020 09:16,2020-03-30,Sweden,3700,110,16.0
3/30/2020 09:16,2020-03-30,Switzerland,15475,327,1823.0
3/30/2020 09:16,2020-03-30,Syria,9,1,0.0
3/30/2020 09:16,2020-03-30,Taiwan,306,5,39.0
3/30/2020 09:16,2020-03-30,Tanzania,19,0,1.0
3/30/2020 09:16,2020-03-30,Thailand,1524,9,229.0
3/30/2020 09:16,2020-03-30,Timor-Leste,1,0,0.0
3/30/2020 09:16,2020-03-30,Togo,30,1,1.0
3/30/2020 09:16,2020-03-30,Trinidad and Tobago,78,3,1.0
3/30/2020 09:16,2020-03-30,Tunisia,312,8,2.0
3/30/2020 09:16,2020-03-30,Turkey,9217,131,105.0
3/30/2020 09:16,2020-03-30,Turks and Caicos,4,0,0.0
3/30/2020 09:16,2020-03-30,UK,19522,1228,135.0
3/30/2020 09:16,2020-03-30,US,142793,2490,4562.0
3/30/2020 09:16,2020-03-30,Uganda,33,0,0.0
3/30/2020 09:16,2020-03-30,Ukraine,480,11,6.0
3/30/2020 09:16,2020-03-30,United Arab Emirates,570,3,58.0
3/30/2020 09:16,2020-03-30,Uruguay,304,1,0.0
3/30/2020 09:16,2020-03-30,Uzbekistan,149,2,7.0
3/30/2020 09:16,2020-03-30,Vatican City,6,0,0.0
3/30/2020 09:16,2020-03-30,Venezuela,119,3,39.0
3/30/2020 09:16,2020-03-30,Vietnam,203,0,52.0
3/30/2020 09:16,2020-03-30,Zambia,29,0,0.0
3/30/2020 09:16,2020-03-30,Zimbabwe,7,1,0.0
3/29/2020 23:54,2020-03-29,Afghanistan,120,4,2.0
3/29/2020 23:54,2020-03-29,Albania,212,10,33.0
3/29/2020 23:54,2020-03-29,Algeria,511,31,31.0
3/29/2020 23:54,2020-03-29,Andorra,334,6,1.0
3/29/2020 23:54,2020-03-29,Angola,7,2,0.0
3/29/2020 23:54,2020-03-29,Anguilla,2,0,0.0
3/29/2020 23:54,2020-03-29,Antigua and Barbuda,7,0,0.0
3/29/2020 23:54,2020-03-29,Argentina,820,20,91.0
3/29/2020 23:54,2020-03-29,Armenia,424,3,30.0
3/29/2020 23:54,2020-03-29,Aruba,50,0,1.0
3/29/2020 23:54,2020-03-29,Australia,4163,17,244.0
3/29/2020 23:54,2020-03-29,Austria,8788,86,479.0
3/29/2020 23:54,2020-03-29,Azerbaijan,209,4,15.0
3/29/2020 23:54,2020-03-29,Bahamas,14,0,1.0
3/29/2020 23:54,2020-03-29,Bahrain,499,4,272.0
3/29/2020 23:54,2020-03-29,Bangladesh,48,5,15.0
3/29/2020 23:54,2020-03-29,Barbados,33,0,0.0
3/29/2020 23:54,2020-03-29,Belarus,94,0,32.0
3/29/2020 23:54,2020-03-29,Belgium,10836,431,1359.0
3/29/2020 23:54,2020-03-29,Belize,2,0,0.0
3/29/2020 23:54,2020-03-29,Benin,6,0,0.0
3/29/2020 23:54,2020-03-29,Bermuda,22,0,2.0
3/29/2020 23:54,2020-03-29,Bhutan,4,0,0.0
3/29/2020 23:54,2020-03-29,Bolivia,81,1,0.0
3/29/2020 23:54,2020-03-29,Bosnia and Herzegovina,323,6,8.0
3/29/2020 23:54,2020-03-29,Brazil,4256,136,6.0
3/29/2020 23:54,2020-03-29,British Virgin Islands,2,0,0.0
3/29/2020 23:54,2020-03-29,Brunei,126,1,34.0
3/29/2020 23:54,2020-03-29,Bulgaria,346,8,14.0
3/29/2020 23:54,2020-03-29,Burkina Faso,222,12,23.0
3/29/2020 23:54,2020-03-29,CAR,3,0,0.0
3/29/2020 23:54,2020-03-29,Cabo Verde,6,1,0.0
3/29/2020 23:54,2020-03-29,Cambodia,103,0,21.0
3/29/2020 23:54,2020-03-29,Cameroon,139,6,5.0
3/29/2020 23:54,2020-03-29,Canada,6320,65,573.0
3/29/2020 23:54,2020-03-29,Cayman Islands,12,1,0.0
3/29/2020 23:54,2020-03-29,Chad,3,0,0.0
3/29/2020 23:54,2020-03-29,Channel Islands,108,2,0.0
3/29/2020 23:54,2020-03-29,Chile,2139,7,75.0
3/29/2020 23:54,2020-03-29,China,81470,3304,75700.0
3/29/2020 23:54,2020-03-29,Colombia,702,10,10.0
3/29/2020 23:54,2020-03-29,Congo,19,0,0.0
3/29/2020 23:54,2020-03-29,Costa Rica,314,2,3.0
3/29/2020 23:54,2020-03-29,Croatia,713,6,55.0
3/29/2020 23:54,2020-03-29,Cuba,139,3,4.0
3/29/2020 23:54,2020-03-29,Curacao,8,1,2.0
3/29/2020 23:54,2020-03-29,Cyprus,214,6,15.0
3/29/2020 23:54,2020-03-29,Czechia,2817,16,11.0
3/29/2020 23:54,2020-03-29,DRC,81,8,2.0
3/29/2020 23:54,2020-03-29,Denmark,2395,72,1.0
3/29/2020 23:54,2020-03-29,Djibouti,18,0,0.0
3/29/2020 23:54,2020-03-29,Dominica,11,0,0.0
3/29/2020 23:54,2020-03-29,Dominican Republic,859,39,3.0
3/29/2020 23:54,2020-03-29,Ecuador,1924,58,3.0
3/29/2020 23:54,2020-03-29,Egypt,609,40,132.0
