Date_last_updated_AEDT,date,countryname,Confirmed,Deaths,Recovered
2020-07-12 01:47:00,2020-07-12,Maldives,2664,13,2268.0
2020-07-12 01:47:00,2020-07-12,Mali,2406,121,1683.0
2020-07-12 01:47:00,2020-07-12,Malta,674,9,658.0
2020-07-12 01:47:00,2020-07-12,Martinique,255,15,98.0
2020-07-12 01:47:00,2020-07-12,Mauritania,5275,147,2160.0
2020-07-12 01:47:00,2020-07-12,Mauritius,342,10,330.0
2020-07-12 01:47:00,2020-07-12,Mayotte,2711,37,2480.0
2020-07-12 01:47:00,2020-07-12,Mexico,295268,34730,180852.0
2020-07-12 01:47:00,2020-07-12,Moldova,19208,640,12456.0
2020-07-12 01:47:00,2020-07-12,Monaco,109,4,96.0
2020-07-12 01:47:00,2020-07-12,Mongolia,230,0,202.0
2020-07-12 01:47:00,2020-07-12,Montenegro,1164,23,325.0
2020-07-12 01:47:00,2020-07-12,Montserrat,12,1,10.0
2020-07-12 01:47:00,2020-07-12,Morocco,15542,245,12065.0
2020-07-12 01:47:00,2020-07-12,Mozambique,1135,9,349.0
2020-07-12 01:47:00,2020-07-12,Myanmar,330,6,260.0
2020-07-12 01:47:00,2020-07-12,Namibia,668,1,25.0
2020-07-12 01:47:00,2020-07-12,Nepal,16719,38,8442.0
2020-07-12 01:47:00,2020-07-12,Netherlands,50921,6137,0.0
2020-07-12 01:47:00,2020-07-12,New Caledonia,21,0,21.0
2020-07-12 01:47:00,2020-07-12,New Zealand,1544,22,1497.0
2020-07-12 01:47:00,2020-07-12,Nicaragua,2846,91,1993.0
2020-07-12 01:47:00,2020-07-12,Niger,1099,68,992.0
2020-07-12 01:47:00,2020-07-12,Nigeria,31987,724,13103.0
2020-07-12 01:47:00,2020-07-12,North Macedonia,7975,376,4080.0
2020-07-12 01:47:00,2020-07-12,Norway,8977,252,8138.0
2020-07-12 01:47:00,2020-07-12,Oman,54697,248,35255.0
2020-07-12 01:47:00,2020-07-12,Pakistan,248872,5197,156700.0
2020-07-12 01:47:00,2020-07-12,Palestine,5931,33,536.0
2020-07-12 01:47:00,2020-07-12,Panama,44332,893,22170.0
2020-07-12 01:47:00,2020-07-12,Papua New Guinea,11,0,8.0
2020-07-12 01:47:00,2020-07-12,Paraguay,2820,21,1261.0
2020-07-12 01:47:00,2020-07-12,Peru,322710,11682,214152.0
2020-07-12 01:47:00,2020-07-12,Philippines,54222,1372,14037.0
2020-07-12 01:47:00,2020-07-12,Poland,37521,1568,26635.0
2020-07-12 01:47:00,2020-07-12,Portugal,46221,1654,30655.0
2020-07-12 01:47:00,2020-07-12,Qatar,103128,146,98934.0
2020-07-12 01:47:00,2020-07-12,Reunion,577,3,472.0
2020-07-12 01:47:00,2020-07-12,Romania,32079,1871,21414.0
2020-07-12 01:47:00,2020-07-12,Russia,720547,11205,497446.0
2020-07-12 01:47:00,2020-07-12,Rwanda,1299,4,663.0
2020-07-12 01:47:00,2020-07-12,Saint Kitts and Nevis,17,0,15.0
2020-07-12 01:47:00,2020-07-12,Saint Lucia,22,0,19.0
2020-07-12 01:47:00,2020-07-12,Saint Martin,43,3,37.0
2020-07-12 01:47:00,2020-07-12,Saint Pierre Miquelon,2,0,1.0
2020-07-12 01:47:00,2020-07-12,San Marino,699,42,656.0
2020-07-12 01:47:00,2020-07-12,Sao Tome and Principe,727,14,284.0
2020-07-12 01:47:00,2020-07-12,Saudi Arabia,229480,2181,165396.0
2020-07-12 01:47:00,2020-07-12,Senegal,8014,145,5381.0
2020-07-12 01:47:00,2020-07-12,Serbia,18073,382,13780.0
2020-07-12 01:47:00,2020-07-12,Seychelles,100,0,11.0
2020-07-12 01:47:00,2020-07-12,Sierra Leone,1618,63,1141.0
2020-07-12 01:47:00,2020-07-12,Singapore,45783,26,42026.0
2020-07-12 01:47:00,2020-07-12,Sint Maarten,78,15,63.0
2020-07-12 01:47:00,2020-07-12,Slovakia,1893,28,1493.0
2020-07-12 01:47:00,2020-07-12,Slovenia,1827,111,1429.0
2020-07-12 01:47:00,2020-07-12,Somalia,3051,92,1264.0
2020-07-12 01:47:00,2020-07-12,South Africa,264184,3971,127715.0
2020-07-12 01:47:00,2020-07-12,South Korea,13417,289,12178.0
2020-07-12 01:47:00,2020-07-12,South Sudan,2021,38,333.0
2020-07-12 01:47:00,2020-07-12,Spain,300988,28403,0.0
2020-07-12 01:47:00,2020-07-12,Sri Lanka,2511,11,1980.0
2020-07-12 01:47:00,2020-07-12,St. Barth,6,0,6.0
2020-07-12 01:47:00,2020-07-12,St. Vincent Grenadines,29,0,29.0
2020-07-12 01:47:00,2020-07-12,Sudan,10250,650,5341.0
2020-07-12 01:47:00,2020-07-12,Suriname,741,18,495.0
2020-07-12 01:47:00,2020-07-12,Sweden,74898,5526,0.0
2020-07-12 01:47:00,2020-07-12,Switzerland,32817,1968,29500.0
2020-07-12 01:47:00,2020-07-12,Syria,394,16,126.0
2020-07-12 01:47:00,2020-07-12,Taiwan,451,7,438.0
2020-07-12 01:47:00,2020-07-12,Tajikistan,6506,55,5176.0
2020-07-12 01:47:00,2020-07-12,Tanzania,509,21,183.0
2020-07-12 01:47:00,2020-07-12,Thailand,3216,58,3088.0
2020-07-12 01:47:00,2020-07-12,Timor-Leste,24,0,24.0
2020-07-12 01:47:00,2020-07-12,Togo,710,15,494.0
2020-07-12 01:47:00,2020-07-12,Trinidad and Tobago,133,8,120.0
2020-07-12 01:47:00,2020-07-12,Tunisia,1245,50,1076.0
2020-07-12 01:47:00,2020-07-12,Turkey,211981,5344,193217.0
2020-07-12 01:47:00,2020-07-12,Turks and Caicos,71,2,11.0
2020-07-12 01:47:00,2020-07-12,UK,288953,44798,0.0
2020-07-12 01:47:00,2020-07-12,US,3355646,137403,1490446.0
2020-07-12 01:47:00,2020-07-12,Uganda,1013,0,952.0
2020-07-12 01:47:00,2020-07-12,Ukraine,52843,1372,25661.0
2020-07-12 01:47:00,2020-07-12,United Arab Emirates,54453,331,44648.0
2020-07-12 01:47:00,2020-07-12,Uruguay,986,30,896.0
2020-07-12 01:47:00,2020-07-12,Uzbekistan,12513,57,7723.0
2020-07-12 01:47:00,2020-07-12,Vatican City,12,0,12.0
2020-07-12 01:47:00,2020-07-12,Venezuela,9178,85,2671.0
2020-07-12 01:47:00,2020-07-12,Vietnam,370,0,350.0
2020-07-12 01:47:00,2020-07-12,Western Sahara,10,1,8.0
2020-07-12 01:47:00,2020-07-12,World,12846931,567731,7483093.0
2020-07-12 01:47:00,2020-07-12,Yemen,1389,365,642.0
2020-07-12 01:47:00,2020-07-12,Zambia,1895,42,1348.0
2020-07-12 01:47:00,2020-07-12,Zimbabwe,982,18,320.0
2020-07-10 23:14:00,2020-07-10,0,12625155,562769,7333038.0
2020-07-10 23:14:00,2020-07-10,Afghanistan,34194,971,20882.0
2020-07-10 23:14:00,2020-07-10,Albania,3278,85,1875.0
2020-07-10 23:14:00,2020-07-10,Algeria,18242,996,13124.0
2020-07-10 23:14:00,2020-07-10,Andorra,855,52,803.0
2020-07-10 23:14:00,2020-07-10,Angola,458,23,117.0
2020-07-10 23:14:00,2020-07-10,Anguilla,3,0,3.0
2020-07-10 23:14:00,2020-07-10,Antigua and Barbuda,74,3,57.0
2020-07-10 23:14:00,2020-07-10,Argentina,94060,1774,38984.0
2020-07-10 23:14:00,2020-07-10,Armenia,30903,546,18709.0
2020-07-10 23:14:00,2020-07-10,Aruba,105,3,98.0
2020-07-10 23:14:00,2020-07-10,Australia,9549,107,7730.0
2020-07-10 23:14:00,2020-07-10,Austria,18709,706,16808.0
2020-07-10 23:14:00,2020-07-10,Azerbaijan,22990,292,14093.0
