Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,US,3/31/2020 17:32,181906,3655,6262
,Italy,3/31/2020 17:32,105792,12428,15729
,Spain,3/31/2020 17:32,94417,8269,19259
,Germany,3/31/2020 17:32,70985,682,15824
,France,3/31/2020 17:32,52128,3523,9444
,Iran,3/31/2020 17:32,44605,2898,14656
,UK,3/31/2020 17:32,25150,1789,135
,Switzerland,3/31/2020 17:32,16605,433,1823
,Turkey,3/31/2020 17:32,13531,214,243
Brussels,Belgium,3/31/2020 17:32,12775,705,1696
,Netherlands,3/31/2020 17:32,12595,1039,250
,Austria,3/31/2020 17:32,10122,128,1095
,South Korea,3/31/2020 17:32,9786,162,5408
,Canada,3/31/2020 17:32,8505,95,1162
,Portugal,3/31/2020 17:32,7443,160,43
,Brazil,3/31/2020 17:32,5717,201,127
,Israel,3/31/2020 17:32,5358,20,224
,Norway,3/31/2020 17:32,4635,39,13
,Australia,3/31/2020 17:32,4561,19,337
,Sweden,3/31/2020 17:32,4435,180,16
,Czechia,3/31/2020 17:32,3257,31,45
,Ireland,3/31/2020 17:32,3235,71,5
,Denmark,3/31/2020 17:32,2860,90,1
,Malaysia,3/31/2020 17:32,2766,43,537
,Chile,3/31/2020 17:32,2738,12,156
,Russia,3/31/2020 17:32,2337,17,121
,Poland,3/31/2020 17:32,2311,33,7
,Romania,3/31/2020 17:32,2245,82,220
,Ecuador,3/31/2020 17:32,2240,75,54
,Luxembourg,3/31/2020 17:32,2178,23,80
,Philippines,3/31/2020 17:32,2084,88,49
,Japan,3/31/2020 17:32,1953,56,424
,Pakistan,3/31/2020 17:32,1938,26,76
,Thailand,3/31/2020 17:32,1651,10,342
,Saudi Arabia,3/31/2020 17:32,1563,10,165
,Indonesia,3/31/2020 17:32,1528,136,81
,Finland,3/31/2020 17:32,1418,17,10
,India,3/31/2020 17:32,1397,35,123
,South Africa,3/31/2020 17:32,1353,5,31
,Greece,3/31/2020 17:32,1314,49,52
,Iceland,3/31/2020 17:32,1135,2,198
,Dominican Republic,3/31/2020 17:32,1109,51,5
,Mexico,3/31/2020 17:32,1094,28,35
,Panama,3/31/2020 17:32,1075,27,9
,Peru,3/31/2020 17:32,1065,30,394
,Argentina,3/31/2020 17:32,966,26,240
,Singapore,3/31/2020 17:32,926,3,240
,Colombia,3/31/2020 17:32,906,16,31
,Serbia,3/31/2020 17:32,900,23,42
,Croatia,3/31/2020 17:32,867,6,67
,Slovenia,3/31/2020 17:32,802,15,10
,Qatar,3/31/2020 17:32,781,2,62
,Estonia,3/31/2020 17:32,745,4,26
,Algeria,3/31/2020 17:32,716,44,46
Hong Kong,Hong Kong,3/31/2020 17:32,714,4,128
Yokohama,Japan,3/31/2020 17:32,712,10,603
,Egypt,3/31/2020 17:32,710,46,157
,Iraq,3/31/2020 17:32,694,50,170
,United Arab Emirates,3/31/2020 17:32,664,6,61
,New Zealand,3/31/2020 17:32,647,1,74
,Ukraine,3/31/2020 17:32,645,17,10
,Morocco,3/31/2020 17:32,602,36,24
,Bahrain,3/31/2020 17:32,567,4,295
,Lithuania,3/31/2020 17:32,537,8,7
,Armenia,3/31/2020 17:32,532,3,30
,Hungary,3/31/2020 17:32,492,16,37
,Lebanon,3/31/2020 17:32,463,12,37
,Bosnia and Herzegovina,3/31/2020 17:32,418,12,17
,Bulgaria,3/31/2020 17:32,399,8,17
,Latvia,3/31/2020 17:32,398,0,1
,Andorra,3/31/2020 17:32,376,12,10
,Slovakia,3/31/2020 17:32,363,0,3
,Tunisia,3/31/2020 17:32,362,10,3
,Moldova,3/31/2020 17:32,353,4,18
,Costa Rica,3/31/2020 17:32,347,2,4
,Kazakhstan,3/31/2020 17:32,343,2,24
,North Macedonia,3/31/2020 17:32,329,9,12
Taiwan,Taiwan,3/31/2020 17:32,322,5,39
,Uruguay,3/31/2020 17:32,320,1,25
,Azerbaijan,3/31/2020 17:32,298,5,26
