Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,6/10/2020 19:32,2353062,139607,979946
,0,6/10/2020 19:32,1263120,54488,625769
,0,6/10/2020 19:32,2139701,180941,1120736
,0,6/10/2020 19:32,1462196,37081,889424
,0,6/10/2020 19:32,211569,5700,97012
,0,6/10/2020 19:32,8887,124,8332
,0,6/10/2020 19:32,721,15,651
,World,6/10/2020 19:32,7439256,417956,3721870
,US,6/10/2020 19:32,2064676,115115,800939
,Brazil,6/10/2020 19:32,772416,39680,380300
,Russia,6/10/2020 19:32,493657,6358,252783
,UK,6/10/2020 19:32,290143,41128,0
,Spain,6/10/2020 19:32,289360,27136,0
,India,6/10/2020 19:32,287155,8107,140979
,Italy,6/10/2020 19:32,235763,34114,169939
,Peru,6/10/2020 19:32,208823,5903,98031
,Germany,6/10/2020 19:32,186866,8844,170700
,Iran,6/10/2020 19:32,177938,8506,140590
,Turkey,6/10/2020 19:32,173036,4746,146839
,France,6/10/2020 19:32,155136,29319,71832
,Chile,6/10/2020 19:32,148496,2475,95631
,Mexico,6/10/2020 19:32,124301,14649,90748
,Pakistan,6/10/2020 19:32,113702,2255,36308
,Saudi Arabia,6/10/2020 19:32,112288,819,77954
,Canada,6/10/2020 19:32,97114,7960,56630
,Bangladesh,6/10/2020 19:32,74865,1012,15900
,Qatar,6/10/2020 19:32,73595,66,49413
Brussels,Belgium,6/10/2020 19:32,59569,9629,16392
,South Africa,6/10/2020 19:32,55421,1210,31505
,Belarus,6/10/2020 19:32,51066,288,25667
,Netherlands,6/10/2020 19:32,48087,6042,0
,Sweden,6/10/2020 19:32,46814,4795,0
,Ecuador,6/10/2020 19:32,44440,3720,21862
,Colombia,6/10/2020 19:32,43682,1433,17333
,United Arab Emirates,6/10/2020 19:32,40507,284,24017
,Singapore,6/10/2020 19:32,38965,25,26532
,Egypt,6/10/2020 19:32,38284,1342,10289
,Portugal,6/10/2020 19:32,35600,1497,21742
,Indonesia,6/10/2020 19:32,34316,1959,12129
,Kuwait,6/10/2020 19:32,33823,275,23288
,Switzerland,6/10/2020 19:32,31011,1936,28700
,Ukraine,6/10/2020 19:32,28381,833,12769
,Poland,6/10/2020 19:32,27842,1206,13411
,Ireland,6/10/2020 19:32,25231,1695,22698
,Argentina,6/10/2020 19:32,24761,717,7991
,Philippines,6/10/2020 19:32,23732,1027,4895
,Afghanistan,6/10/2020 19:32,22142,405,3013
,Romania,6/10/2020 19:32,20945,1360,15103
,Dominican Republic,6/10/2020 19:32,20808,550,12318
,Oman,6/10/2020 19:32,18887,84,5640
,Israel,6/10/2020 19:32,18355,299,15168
,Japan,6/10/2020 19:32,17251,919,15298
,Panama,6/10/2020 19:32,17233,403,10561
,Austria,6/10/2020 19:32,17005,673,15910
,Bahrain,6/10/2020 19:32,16200,31,11109
,Iraq,6/10/2020 19:32,15414,426,6214
,Bolivia,6/10/2020 19:32,14644,487,2190
,Armenia,6/10/2020 19:32,14103,227,5226
,Nigeria,6/10/2020 19:32,13464,365,4206
,Kazakhstan,6/10/2020 19:32,13319,67,8345
,Serbia,6/10/2020 19:32,12031,251,11348
,Denmark,6/10/2020 19:32,12016,593,10904
,South Korea,6/10/2020 19:32,11902,276,10611
,Algeria,6/10/2020 19:32,10484,732,7074
,Moldova,6/10/2020 19:32,10321,371,5930
,Ghana,6/10/2020 19:32,10201,48,3755
,Czechia,6/10/2020 19:32,9787,330,7111
,Cameroon,6/10/2020 19:32,8681,212,4836
,Norway,6/10/2020 19:32,8594,239,8138
,Azerbaijan,6/10/2020 19:32,8530,102,4720
