Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,5/17/2020 21:03,1683949,102914,431269
,0,5/17/2020 21:03,1780768,162839,769709
,0,5/17/2020 21:03,440182,23117,153379
,0,5/17/2020 21:03,798308,24733,458731
,0,5/17/2020 21:03,86381,2777,33496
,0,5/17/2020 21:03,8648,119,7900
,0,5/17/2020 21:03,721,15,651
,World,5/17/2020 21:03,4798957,316514,1855135
,US,5/17/2020 21:03,1527352,90973,344952
,Russia,5/17/2020 21:03,281752,2631,67373
,Spain,5/17/2020 21:03,277719,27650,195945
,UK,5/17/2020 21:03,243695,34636,0
,Brazil,5/17/2020 21:03,241080,16118,94122
,Italy,5/17/2020 21:03,225435,31908,125176
,France,5/17/2020 21:03,179569,28108,61213
,Germany,5/17/2020 21:03,176651,8049,153400
,Turkey,5/17/2020 21:03,149435,4140,109962
,Iran,5/17/2020 21:03,120198,6988,94464
,India,5/17/2020 21:03,95698,3025,36795
,Peru,5/17/2020 21:03,92273,2648,28621
,Canada,5/17/2020 21:03,77002,5782,38550
Brussels,Belgium,5/17/2020 21:03,55280,9052,14630
,Saudi Arabia,5/17/2020 21:03,54752,312,25722
,Mexico,5/17/2020 21:03,47144,5045,31848
,Netherlands,5/17/2020 21:03,43995,5680,0
,Chile,5/17/2020 21:03,43781,450,19213
,Pakistan,5/17/2020 21:03,40151,873,11341
,Ecuador,5/17/2020 21:03,33182,2736,3433
,Qatar,5/17/2020 21:03,32604,15,4370
,Switzerland,5/17/2020 21:03,30587,1881,27500
,Sweden,5/17/2020 21:03,30143,3679,4971
,Belarus,5/17/2020 21:03,29650,165,9932
,Portugal,5/17/2020 21:03,29036,1218,4636
,Singapore,5/17/2020 21:03,28038,22,9340
,Ireland,5/17/2020 21:03,24112,1543,19470
,United Arab Emirates,5/17/2020 21:03,23358,220,8512
,Bangladesh,5/17/2020 21:03,22268,328,4373
,Poland,5/17/2020 21:03,18529,925,7451
,Ukraine,5/17/2020 21:03,18291,514,5116
,Indonesia,5/17/2020 21:03,17514,1148,4129
,Romania,5/17/2020 21:03,16871,1107,9890
,Israel,5/17/2020 21:03,16617,272,12942
,Japan,5/17/2020 21:03,16285,744,11153
,Austria,5/17/2020 21:03,16242,629,14563
,Colombia,5/17/2020 21:03,15574,574,3751
,South Africa,5/17/2020 21:03,15515,264,7006
,Kuwait,5/17/2020 21:03,14850,112,4093
,Philippines,5/17/2020 21:03,12513,824,2635
,Dominican Republic,5/17/2020 21:03,12314,428,5847
,Egypt,5/17/2020 21:03,12229,630,3172
,South Korea,5/17/2020 21:03,11050,262,9888
,Denmark,5/17/2020 21:03,10927,547,9227
,Serbia,5/17/2020 21:03,10610,230,4713
,Panama,5/17/2020 21:03,9449,269,6080
,Czechia,5/17/2020 21:03,8475,298,5462
,Norway,5/17/2020 21:03,8249,232,32
,Argentina,5/17/2020 21:03,8068,373,2569
,Australia,5/17/2020 21:03,7045,98,6367
,Algeria,5/17/2020 21:03,7019,548,3507
,Bahrain,5/17/2020 21:03,6956,12,2910
,Malaysia,5/17/2020 21:03,6894,113,5571
,Morocco,5/17/2020 21:03,6870,192,3660
,Afghanistan,5/17/2020 21:03,6664,169,778
,Finland,5/17/2020 21:03,6347,298,5000
,Kazakhstan,5/17/2020 21:03,6157,34,3256
,Moldova,5/17/2020 21:03,6060,211,2344
,Nigeria,5/17/2020 21:03,5959,182,1594
,Ghana,5/17/2020 21:03,5735,29,1754
,Oman,5/17/2020 21:03,5186,22,1465
,Armenia,5/17/2020 21:03,4472,60,1925
,Luxembourg,5/17/2020 21:03,3945,107,3702
,Bolivia,5/17/2020 21:03,3826,165,473
,Hungary,5/17/2020 21:03,3509,451,1396
,Iraq,5/17/2020 21:03,3404,123,2218
,Azerbaijan,5/17/2020 21:03,3274,39,2015
,Cameroon,5/17/2020 21:03,3105,140,1567
,Thailand,5/17/2020 21:03,3028,56,2856
,Greece,5/17/2020 21:03,2834,163,1374
,Uzbekistan,5/17/2020 21:03,2753,12,2247
,Guinea,5/17/2020 21:03,2658,16,1133
,Honduras,5/17/2020 21:03,2565,138,278
,Senegal,5/17/2020 21:03,2480,25,973
,Bosnia and Herzegovina,5/17/2020 21:03,2290,133,1436
,Sudan,5/17/2020 21:03,2289,97,222
,Croatia,5/17/2020 21:03,2226,95,1936
,Bulgaria,5/17/2020 21:03,2211,108,598
,Ivory Coast,5/17/2020 21:03,2109,27,1004
,Cuba,5/17/2020 21:03,1872,79,1495
,Iceland,5/17/2020 21:03,1802,10,1786
,North Macedonia,5/17/2020 21:03,1792,101,1293
,Estonia,5/17/2020 21:03,1774,63,938
,Guatemala,5/17/2020 21:03,1763,33,138
,Lithuania,5/17/2020 21:03,1541,56,997
,Tajikistan,5/17/2020 21:03,1524,39,0
,New Zealand,5/17/2020 21:03,1499,21,1433
,Slovakia,5/17/2020 21:03,1494,28,1163
,Slovenia,5/17/2020 21:03,1466,104,273
,DRC,5/17/2020 21:03,1455,61,270
,Somalia,5/17/2020 21:03,1421,56,152
,Djibouti,5/17/2020 21:03,1401,4,972
,Mayotte,5/17/2020 21:03,1342,18,627
,El Salvador,5/17/2020 21:03,1338,27,462
,Gabon,5/17/2020 21:03,1320,11,244
,Kyrgyzstan,5/17/2020 21:03,1138,14,804
,Maldives,5/17/2020 21:03,1094,4,58
Hong Kong,Hong Kong,5/17/2020 21:03,1056,4,1024
,Tunisia,5/17/2020 21:03,1037,45,816
,Latvia,5/17/2020 21:03,1008,19,662
,Guinea-Bissau,5/17/2020 21:03,990,4,26
,Sri Lanka,5/17/2020 21:03,981,9,538
,Albania,5/17/2020 21:03,946,31,715
,Cyprus,5/17/2020 21:03,916,17,515
,Lebanon,5/17/2020 21:03,911,26,247
,Niger,5/17/2020 21:03,904,54,698
,Kenya,5/17/2020 21:03,887,50,313
,Costa Rica,5/17/2020 21:03,863,10,565
,Mali,5/17/2020 21:03,860,52,494
,Burkina Faso,5/17/2020 21:03,796,51,644
,Paraguay,5/17/2020 21:03,786,11,202
,Andorra,5/17/2020 21:03,761,51,617
,Zambia,5/17/2020 21:03,753,7,188
,Uruguay,5/17/2020 21:03,734,20,564
Yokohama,Japan,5/17/2020 21:03,712,13,651
,Georgia,5/17/2020 21:03,695,12,425
,San Marino,5/17/2020 21:03,654,41,201
,Jordan,5/17/2020 21:03,613,9,408
,Equatorial Guinea,5/17/2020 21:03,594,7,22
,Channel Islands,5/17/2020 21:03,554,43,458
,Malta,5/17/2020 21:03,553,6,454
,Venezuela,5/17/2020 21:03,541,10,241
,Jamaica,5/17/2020 21:03,520,9,127
,Tanzania,5/17/2020 21:03,509,21,183
,Sierra Leone,5/17/2020 21:03,505,32,141
,Chad,5/17/2020 21:03,503,53,117
,Haiti,5/17/2020 21:03,456,20,21
,Reunion,5/17/2020 21:03,443,0,354
Taiwan,Taiwan,5/17/2020 21:03,440,7,395
,Congo,5/17/2020 21:03,391,15,87
,Palestine,5/17/2020 21:03,381,2,335
,Benin,5/17/2020 21:03,339,2,83
,Isle of Man,5/17/2020 21:03,335,24,285
,Mauritius,5/17/2020 21:03,332,10,322
,Cabo Verde,5/17/2020 21:03,328,3,84
,CAR,5/17/2020 21:03,327,0,13
,Montenegro,5/17/2020 21:03,324,9,311
,Vietnam,5/17/2020 21:03,320,0,260
,Ethiopia,5/17/2020 21:03,317,5,113
,Madagascar,5/17/2020 21:03,304,1,114
,Togo,5/17/2020 21:03,301,11,104
,Nepal,5/17/2020 21:03,295,2,36
,Rwanda,5/17/2020 21:03,292,0,197
,South Sudan,5/17/2020 21:03,290,4,4
,Sao Tome and Principe,5/17/2020 21:03,235,7,4
,Uganda,5/17/2020 21:03,227,0,63
,Liberia,5/17/2020 21:03,226,21,120
,Eswatini,5/17/2020 21:03,203,2,73
,French Guiana,5/17/2020 21:03,197,1,125
,Martinique,5/17/2020 21:03,192,14,91
,Faeroe Islands,5/17/2020 21:03,187,0,187
,Myanmar,5/17/2020 21:03,184,6,97
,Guadeloupe,5/17/2020 21:03,155,13,109
,Gibraltar,5/17/2020 21:03,147,0,145
,Brunei,5/17/2020 21:03,141,1,136
,Mozambique,5/17/2020 21:03,137,0,44
,Mongolia,5/17/2020 21:03,136,0,21
,Yemen,5/17/2020 21:03,128,20,1
,Bermuda,5/17/2020 21:03,123,9,73
,Cambodia,5/17/2020 21:03,122,0,122
,Guyana,5/17/2020 21:03,117,10,43
,Trinidad and Tobago,5/17/2020 21:03,116,8,107
,Aruba,5/17/2020 21:03,101,3,93
,Bahamas,5/17/2020 21:03,96,11,42
,Monaco,5/17/2020 21:03,96,4,87
,Cayman Islands,5/17/2020 21:03,94,1,55
,Barbados,5/17/2020 21:03,88,7,68
,Liechtenstein,5/17/2020 21:03,82,1,55
,Sint Maarten,5/17/2020 21:03,77,15,54
,Malawi,5/17/2020 21:03,70,3,27
,Libya,5/17/2020 21:03,65,3,35
,Mauritania,5/17/2020 21:03,62,4,7
,French Polynesia,5/17/2020 21:03,60,0,59
,Syria,5/17/2020 21:03,58,3,36
,Angola,5/17/2020 21:03,48,2,17
Macau,Macau,5/17/2020 21:03,45,0,43
,Zimbabwe,5/17/2020 21:03,44,4,17
,Saint Martin,5/17/2020 21:03,39,3,30
,Eritrea,5/17/2020 21:03,39,0,39
,Nicaragua,5/17/2020 21:03,25,8,7
,Antigua and Barbuda,5/17/2020 21:03,25,3,19
,Botswana,5/17/2020 21:03,25,1,17
,Timor-Leste,5/17/2020 21:03,24,0,24
,Burundi,5/17/2020 21:03,23,1,15
,Gambia,5/17/2020 21:03,23,1,12
,Grenada,5/17/2020 21:03,22,0,14
,Bhutan,5/17/2020 21:03,21,0,5
,Laos,5/17/2020 21:03,19,0,14
,Belize,5/17/2020 21:03,18,2,16
,Fiji,5/17/2020 21:03,18,0,15
,New Caledonia,5/17/2020 21:03,18,0,18
,Saint Lucia,5/17/2020 21:03,18,0,18
,St. Vincent Grenadines,5/17/2020 21:03,17,0,14
,Curacao,5/17/2020 21:03,16,1,14
,Dominica,5/17/2020 21:03,16,0,15
,Namibia,5/17/2020 21:03,16,0,13
,Saint Kitts and Nevis,5/17/2020 21:03,15,0,14
,Falkland Islands,5/17/2020 21:03,13,0,13
,Turks and Caicos,5/17/2020 21:03,12,1,10
,Vatican City,5/17/2020 21:03,12,0,2
,Comoros,5/17/2020 21:03,11,1,3
,Montserrat,5/17/2020 21:03,11,1,10
,Greenland,5/17/2020 21:03,11,0,11
,Seychelles,5/17/2020 21:03,11,0,10
,Suriname,5/17/2020 21:03,10,1,9
,MS Zaandam,5/17/2020 21:03,9,2,0
,British Virgin Islands,5/17/2020 21:03,8,1,6
,Papua New Guinea,5/17/2020 21:03,8,0,8
,Caribbean Netherlands,5/17/2020 21:03,6,0,6
,St. Barth,5/17/2020 21:03,6,0,6
,Western Sahara,5/17/2020 21:03,6,0,6
,Anguilla,5/17/2020 21:03,3,0,3
,Lesotho,5/17/2020 21:03,1,0,0
,Saint Pierre Miquelon,5/17/2020 21:03,1,0,1
,China,5/17/2020 21:03,82947,4633,78227
