Confirmed,Deaths,Province/State,Country/Region,Recovered,Last Update
25730,311,,,0,3/21/2020 20:45
11727,60,New York,US,0,3/21/2020 20:45
1793,94,WA,US,1,3/21/2020 20:45
1370,24,California,US,6,3/21/2020 20:45
1327,16,New Jersey,US,1,3/21/2020 20:45
788,5,Michigan,US,0,3/21/2020 20:45
753,6,Illinois,US,2,3/21/2020 20:45
696,13,Florida,US,0,3/21/2020 20:45
585,16,Louisiana,US,0,3/21/2020 20:45
582,5,Texas,US,0,3/21/2020 20:45
529,1,Massachusetts,US,1,3/21/2020 20:45
507,14,Georgia,US,0,3/21/2020 20:45
475,6,Colorado,US,0,3/21/2020 20:45
399,2,Pennsylvania,US,0,3/21/2020 20:45
371,1,Tennessee,US,0,3/21/2020 20:45
282,4,Wisconsin,US,1,3/21/2020 20:45
255,0,North Carolina,US,0,3/21/2020 20:45
248,3,Ohio,US,0,3/21/2020 20:45
194,4,Connecticut,US,0,3/21/2020 20:45
193,2,Maryland,US,3,3/21/2020 20:45
174,3,South Carolina,US,0,3/21/2020 20:45
161,2,Nevada,US,0,3/21/2020 20:45
156,4,Virginia,US,0,3/21/2020 20:45
140,1,Mississippi,US,0,3/21/2020 20:45
138,4,Oregon,US,0,3/21/2020 20:45
137,1,Minnesota,US,0,3/21/2020 20:45
136,0,Utah,US,0,3/21/2020 20:45
131,0,Alabama,US,0,3/21/2020 20:45
128,4,Indiana,US,0,3/21/2020 20:45
122,0,Arkansas,US,0,3/21/2020 20:45
118,1,Arizona,US,1,3/21/2020 20:45
87,3,Kentucky,US,1,3/21/2020 20:45
77,1,Washington DC,US,0,3/21/2020 20:45
74,3,Missouri,US,0,3/21/2020 20:45
70,0,Maine,US,0,3/21/2020 20:45
68,0,Iowa,US,0,3/21/2020 20:45
66,0,Rhode Island,US,0,3/21/2020 20:45
65,0,New Hampshire,US,0,3/21/2020 20:45
57,2,Kansas,US,0,3/21/2020 20:45
57,0,New Mexico,US,0,3/21/2020 20:45
53,1,Oklahoma,US,0,3/21/2020 20:45
51,2,Vermont,US,0,3/21/2020 20:45
49,0,From Diamond Princess cruise,US,0,3/21/2020 20:45
45,0,Delaware,US,0,3/21/2020 20:45
