Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,4/22/2020 02:09,881237,48613,100492
,0,4/22/2020 02:09,1140141,107906,349087
,0,4/22/2020 02:09,410584,15519,192532
,0,4/22/2020 02:09,91565,4336,39780
,0,4/22/2020 02:09,8198,88,6016
,0,4/22/2020 02:09,25411,1197,6770
,0,4/22/2020 02:09,721,15,644
,World,4/22/2020 02:09,2557857,177674,695321
,US,4/22/2020 02:09,819175,45343,82973
,Spain,4/22/2020 02:09,204178,21282,82514
,Italy,4/22/2020 02:09,183957,24648,51600
,France,4/22/2020 02:09,158050,20796,39181
,Germany,4/22/2020 02:09,148453,5086,99400
,UK,4/22/2020 02:09,129044,17337,0
,Turkey,4/22/2020 02:09,95591,2259,14918
,Iran,4/22/2020 02:09,84802,5297,60965
,Russia,4/22/2020 02:09,52763,456,3873
,Brazil,4/22/2020 02:09,43368,2761,24325
Brussels,Belgium,4/22/2020 02:09,40956,5998,9002
,Canada,4/22/2020 02:09,38422,1834,13188
,Netherlands,4/22/2020 02:09,34134,3916,0
,Switzerland,4/22/2020 02:09,28063,1478,19400
,Portugal,4/22/2020 02:09,21379,762,917
,India,4/22/2020 02:09,20111,645,3975
,Peru,4/22/2020 02:09,17837,484,6982
,Ireland,4/22/2020 02:09,16040,730,9233
,Sweden,4/22/2020 02:09,15322,1765,550
,Austria,4/22/2020 02:09,14873,491,10971
,Israel,4/22/2020 02:09,13942,184,4507
,Saudi Arabia,4/22/2020 02:09,11631,109,1640
,Japan,4/22/2020 02:09,11512,281,1356
,Chile,4/22/2020 02:09,10832,147,4969
,South Korea,4/22/2020 02:09,10694,238,8277
,Ecuador,4/22/2020 02:09,10398,520,1207
,Poland,4/22/2020 02:09,9856,401,1297
,Pakistan,4/22/2020 02:09,9749,209,2156
,Mexico,4/22/2020 02:09,9501,857,2627
,Romania,4/22/2020 02:09,9242,498,2153
,Singapore,4/22/2020 02:09,9125,11,839
,United Arab Emirates,4/22/2020 02:09,7755,46,1443
,Denmark,4/22/2020 02:09,7695,370,4700
,Norway,4/22/2020 02:09,7241,182,32
,Indonesia,4/22/2020 02:09,7135,616,842
,Czechia,4/22/2020 02:09,7033,201,1753
,Serbia,4/22/2020 02:09,6890,130,977
,Belarus,4/22/2020 02:09,6723,55,577
,Australia,4/22/2020 02:09,6647,74,4920
,Philippines,4/22/2020 02:09,6599,437,654
,Qatar,4/22/2020 02:09,6533,9,614
,Ukraine,4/22/2020 02:09,6125,161,367
,Malaysia,4/22/2020 02:09,5482,92,3349
,Dominican Republic,4/22/2020 02:09,5044,245,463
,Panama,4/22/2020 02:09,4821,141,231
,Colombia,4/22/2020 02:09,4149,196,804
,Finland,4/22/2020 02:09,4014,141,2000
,Luxembourg,4/22/2020 02:09,3618,78,670
,Egypt,4/22/2020 02:09,3490,264,870
,South Africa,4/22/2020 02:09,3465,58,1055
,Bangladesh,4/22/2020 02:09,3382,110,87
,Morocco,4/22/2020 02:09,3209,145,393
,Argentina,4/22/2020 02:09,3144,151,840
,Thailand,4/22/2020 02:09,2826,49,2352
,Algeria,4/22/2020 02:09,2811,392,1152
,Moldova,4/22/2020 02:09,2614,72,505
,Greece,4/22/2020 02:09,2401,121,577
,Hungary,4/22/2020 02:09,2168,213,295
,Kuwait,4/22/2020 02:09,2080,11,412
,Kazakhstan,4/22/2020 02:09,2025,19,489
,Bahrain,4/22/2020 02:09,1973,7,784
,Croatia,4/22/2020 02:09,1908,48,801
,Iceland,4/22/2020 02:09,1778,10,1417
,Uzbekistan,4/22/2020 02:09,1678,6,357
,Iraq,4/22/2020 02:09,1602,83,1096
,Estonia,4/22/2020 02:09,1552,43,169
,Oman,4/22/2020 02:09,1508,8,238
,Azerbaijan,4/22/2020 02:09,1480,20,865
