Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,China,3/25/2020 23:59,81285,3287,74051
,Italy,3/25/2020 23:59,74386,7503,9362
,US,3/25/2020 23:59,68203,1027,394
,Spain,3/25/2020 23:59,49515,3647,5367
,Germany,3/25/2020 23:59,37323,206,3547
,Iran,3/25/2020 23:59,27017,2077,9625
,France,3/25/2020 23:59,25233,1331,3900
,Switzerland,3/25/2020 23:59,10897,153,131
,UK,3/25/2020 23:59,9529,465,135
,South Korea,3/25/2020 23:59,9137,126,3730
,Netherlands,3/25/2020 23:59,6412,356,3
,Austria,3/25/2020 23:59,5588,30,9
Brussels,Belgium,3/25/2020 23:59,4937,178,547
,Canada,3/25/2020 23:59,3409,36,185
,Norway,3/25/2020 23:59,3084,14,6
,Portugal,3/25/2020 23:59,2995,43,22
,Australia,3/25/2020 23:59,2676,11,118
,Brazil,3/25/2020 23:59,2554,59,2
,Sweden,3/25/2020 23:59,2526,62,16
,Turkey,3/25/2020 23:59,2433,59,26
,Israel,3/25/2020 23:59,2369,5,58
,Malaysia,3/25/2020 23:59,1796,20,199
,Denmark,3/25/2020 23:59,1724,34,1
,Czechia,3/25/2020 23:59,1654,6,10
,Ireland,3/25/2020 23:59,1564,9,5
,Luxembourg,3/25/2020 23:59,1333,8,6
,Japan,3/25/2020 23:59,1307,45,310
,Ecuador,3/25/2020 23:59,1211,29,3
,Chile,3/25/2020 23:59,1142,3,22
,Pakistan,3/25/2020 23:59,1063,8,21
,Poland,3/25/2020 23:59,1051,14,7
,Thailand,3/25/2020 23:59,934,4,70
,Romania,3/25/2020 23:59,906,17,86
,Saudi Arabia,3/25/2020 23:59,900,2,29
,Finland,3/25/2020 23:59,880,3,10
,Greece,3/25/2020 23:59,821,22,36
,Indonesia,3/25/2020 23:59,790,58,31
,Iceland,3/25/2020 23:59,737,2,56
Yokohama,Japan,3/25/2020 23:59,712,10,587
,South Africa,3/25/2020 23:59,709,0,12
,Russia,3/25/2020 23:59,658,3,29
,India,3/25/2020 23:59,657,12,43
,Philippines,3/25/2020 23:59,636,38,26
,Singapore,3/25/2020 23:59,631,2,160
,Panama,3/25/2020 23:59,558,8,2
,Qatar,3/25/2020 23:59,537,0,41
