Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,US,3/30/2020 14:49,152631,2817,5211
,Italy,3/30/2020 14:49,101739,11591,14620
,Spain,3/30/2020 14:49,85195,7340,16780
,Germany,3/30/2020 14:49,63929,560,9211
,Iran,3/30/2020 14:49,41495,2757,13911
,France,3/30/2020 14:49,40174,3024,7927
,UK,3/30/2020 14:49,22141,1408,135
,Switzerland,3/30/2020 14:49,15760,348,1823
Brussels,Belgium,3/30/2020 14:49,11899,513,1527
,Netherlands,3/30/2020 14:49,11750,864,250
,Turkey,3/30/2020 14:49,10827,168,105
,South Korea,3/30/2020 14:49,9661,158,5228
,Austria,3/30/2020 14:49,9541,108,636
,Canada,3/30/2020 14:49,6671,67,1014
,Portugal,3/30/2020 14:49,6408,140,43
,Israel,3/30/2020 14:49,4695,16,134
,Norway,3/30/2020 14:49,4445,32,12
,Brazil,3/30/2020 14:49,4371,141,120
,Australia,3/30/2020 14:49,4245,18,244
,Sweden,3/30/2020 14:49,4028,146,16
,Czechia,3/30/2020 14:49,2942,23,25
,Malaysia,3/30/2020 14:49,2626,37,479
,Ireland,3/30/2020 14:49,2615,46,5
,Denmark,3/30/2020 14:49,2577,77,1
,Chile,3/30/2020 14:49,2449,8,156
,Luxembourg,3/30/2020 14:49,1988,22,40
,Poland,3/30/2020 14:49,1984,26,7
,Romania,3/30/2020 14:49,1952,50,209
,Ecuador,3/30/2020 14:49,1924,58,3
,Japan,3/30/2020 14:49,1866,54,424
,Russia,3/30/2020 14:49,1836,9,66
,Pakistan,3/30/2020 14:49,1690,21,76
,Philippines,3/30/2020 14:49,1546,78,42
,Thailand,3/30/2020 14:49,1524,9,229
,Saudi Arabia,3/30/2020 14:49,1453,8,115
,Indonesia,3/30/2020 14:49,1414,122,75
,Finland,3/30/2020 14:49,1352,13,10
,South Africa,3/30/2020 14:49,1326,3,31
,Greece,3/30/2020 14:49,1212,43,52
,Iceland,3/30/2020 14:49,1086,2,157
,India,3/30/2020 14:49,1071,29,100
,Mexico,3/30/2020 14:49,993,20,35
,Panama,3/30/2020 14:49,989,24,4
