Confirmed,Deaths,Province/State,Country/Region,Recovered,Last Update
24796,293,,,0,3/21/2020 17:55
11646,58,New York,US,0,3/21/2020 17:55
1536,83,WA,US,1,3/21/2020 17:55
1327,16,New Jersey,US,1,3/21/2020 17:55
1285,24,California,US,6,3/21/2020 17:55
787,5,Michigan,US,0,3/21/2020 17:55
753,6,Illinois,US,2,3/21/2020 17:55
659,13,Florida,US,0,3/21/2020 17:55
585,16,Louisiana,US,0,3/21/2020 17:55
507,14,Georgia,US,0,3/21/2020 17:55
496,5,Texas,US,0,3/21/2020 17:55
417,1,Massachusetts,US,1,3/21/2020 17:55
394,2,Pennsylvania,US,0,3/21/2020 17:55
371,1,Tennessee,US,0,3/21/2020 17:55
363,4,Colorado,US,0,3/21/2020 17:55
282,4,Wisconsin,US,1,3/21/2020 17:55
248,3,Ohio,US,0,3/21/2020 17:55
245,0,North Carolina,US,0,3/21/2020 17:55
194,4,Connecticut,US,0,3/21/2020 17:55
193,2,Maryland,US,3,3/21/2020 17:55
161,2,Nevada,US,0,3/21/2020 17:55
156,2,Virginia,US,0,3/21/2020 17:55
140,1,Mississippi,US,0,3/21/2020 17:55
138,1,Minnesota,US,0,3/21/2020 17:55
136,0,Utah,US,0,3/21/2020 17:55
128,4,Indiana,US,0,3/21/2020 17:55
126,3,South Carolina,US,0,3/21/2020 17:55
124,0,Alabama,US,0,3/21/2020 17:55
122,0,Arkansas,US,0,3/21/2020 17:55
118,1,Arizona,US,1,3/21/2020 17:55
114,4,Oregon,US,0,3/21/2020 17:55
77,1,Washington DC,US,0,3/21/2020 17:55
74,3,Missouri,US,0,3/21/2020 17:55
70,0,Maine,US,0,3/21/2020 17:55
68,0,Iowa,US,0,3/21/2020 17:55
66,0,Rhode Island,US,0,3/21/2020 17:55
64,2,Kentucky,US,1,3/21/2020 17:55
57,0,New Mexico,US,0,3/21/2020 17:55
55,0,New Hampshire,US,0,3/21/2020 17:55
53,1,Oklahoma,US,0,3/21/2020 17:55
50,2,Kansas,US,0,3/21/2020 17:55
49,0,From Diamond Princess cruise,US,0,3/21/2020 17:55
45,0,Delaware,US,0,3/21/2020 17:55
38,0,Nebraska,US,0,3/21/2020 17:55
37,0,Hawaii,US,0,3/21/2020 17:55
36,0,Idaho,US,0,3/21/2020 17:55
29,2,Vermont,US,0,3/21/2020 17:55
28,0,North Dakota,US,0,3/21/2020 17:55
23,1,From Grand Princess,US,0,3/21/2020 17:55
23,0,Wyoming,US,0,3/21/2020 17:55
21,0,Montana,US,0,3/21/2020 17:55
21,1,,,0,3/21/2020 17:55
15,0,Alaska,US,0,3/21/2020 17:55
15,0,,,0,3/21/2020 17:55
14,1,South Dakota,US,0,3/21/2020 17:55
8,0,West Virginia,US,0,3/21/2020 17:55
6,0,,,0,3/21/2020 17:55
1303,20,,,0,3/21/2020 17:55
424,10,British Columbia,Canada,4,3/21/2020 17:55
377,3,Ontario,Canada,5,3/21/2020 17:55
195,1,Alberta,Canada,0,3/21/2020 17:55
181,5,Quebec,Canada,0,3/21/2020 17:55
44,0,Nova Scotia,Canada,0,3/21/2020 17:55
26,0,Saskatchewan,Canada,0,3/21/2020 17:55
18,0,Manitoba,Canada,0,3/21/2020 17:55
17,0,New Brunswick,Canada,0,3/21/2020 17:55
12,0,,,0,3/21/2020 17:55
6,0,Newfoundland and Labrador,Canada,0,3/21/2020 17:55
2,0,Prince Edward Island,Canada,0,3/21/2020 17:55
1,0,,,0,3/21/2020 17:55
0,1,,,0,3/21/2020 17:55
81008,3255,,China,71740,3/21/2020 17:55
53578,4825,,Italy,6072,3/21/2020 17:55
25374,1378,,Spain,2125,3/21/2020 17:55
22213,84,,Germany,209,3/21/2020 17:55
20610,1556,,Iran,7635,3/21/2020 17:55
14459,562,,France,1587,3/21/2020 17:55
8799,102,,South Korea,2612,3/21/2020 17:55
6746,79,,Switzerland,15,3/21/2020 17:55
5018,233,,UK,93,3/21/2020 17:55
3631,136,,Netherlands,2,3/21/2020 17:55
2953,8,,Austria,9,3/21/2020 17:55
