Confirmed,Deaths,Province/State,Country/Region,Recovered,Last Update
144,14,,San Marino,4.0,3/20/2020 18:27
140,2,,United Arab Emirates,31.0,3/20/2020 18:27
137,1,,Panama,1.0,3/20/2020 18:27
137,0,,Slovakia,0.0,3/20/2020 18:27
136,0,,Armenia,1.0,3/20/2020 18:27
135,2,Taiwan,Taiwan,28.0,3/20/2020 18:27
135,1,,Serbia,2.0,3/20/2020 18:27
130,1,,Croatia,5.0,3/20/2020 18:27
128,3,,Argentina,3.0,3/20/2020 18:27
127,3,,Bulgaria,1.0,3/20/2020 18:27
113,2,,Costa Rica,2.0,3/20/2020 18:27
111,0,,Latvia,1.0,3/20/2020 18:27
94,11,,Algeria,32.0,3/20/2020 18:27
94,0,,Uruguay,0.0,3/20/2020 18:27
91,0,,Vietnam,17.0,3/20/2020 18:27
89,0,,Bosnia and Herzegovina,2.0,3/20/2020 18:27
85,4,,Hungary,7.0,3/20/2020 18:27
85,0,,Jordan,1.0,3/20/2020 18:27
80,0,,Faeroe Islands,3.0,3/20/2020 18:27
78,0,,Brunei,1.0,3/20/2020 18:27
77,3,,Morocco,2.0,3/20/2020 18:27
76,0,,North Macedonia,1.0,3/20/2020 18:27
75,0,,Andorra,1.0,3/20/2020 18:27
75,0,,Cyprus,0.0,3/20/2020 18:27
73,0,,Sri Lanka,3.0,3/20/2020 18:27
72,2,,Dominican Republic,0.0,3/20/2020 18:27
70,2,,Albania,2.0,3/20/2020 18:27
69,0,,Belarus,15.0,3/20/2020 18:27
66,1,,Moldova,1.0,3/20/2020 18:27
64,0,,Malta,2.0,3/20/2020 18:27
63,0,,Lithuania,1.0,3/20/2020 18:27
54,1,,Tunisia,1.0,3/20/2020 18:27
52,0,,Kazakhstan,0.0,3/20/2020 18:27
51,0,,Cambodia,1.0,3/20/2020 18:27
48,0,,Oman,13.0,3/20/2020 18:27
48,0,,Palestine,17.0,3/20/2020 18:27
45,0,,Guadeloupe,0.0,3/20/2020 18:27
44,1,,Azerbaijan,7.0,3/20/2020 18:27
44,0,,Georgia,1.0,3/20/2020 18:27
