Confirmed,Deaths,Province/State,Country/Region,Recovered,Last Update
25805,314,,,0,3/21/2020 20:51
11727,60,New York,US,0,3/21/2020 20:51
1793,94,WA,US,1,3/21/2020 20:51
1370,24,California,US,6,3/21/2020 20:51
1327,16,New Jersey,US,1,3/21/2020 20:51
789,6,Michigan,US,0,3/21/2020 20:51
763,13,Florida,US,0,3/21/2020 20:51
753,6,Illinois,US,2,3/21/2020 20:51
585,16,Louisiana,US,0,3/21/2020 20:51
582,5,Texas,US,0,3/21/2020 20:51
529,1,Massachusetts,US,1,3/21/2020 20:51
520,16,Georgia,US,0,3/21/2020 20:51
475,6,Colorado,US,0,3/21/2020 20:51
399,2,Pennsylvania,US,0,3/21/2020 20:51
371,1,Tennessee,US,0,3/21/2020 20:51
282,4,Wisconsin,US,1,3/21/2020 20:51
257,0,North Carolina,US,0,3/21/2020 20:51
248,3,Ohio,US,0,3/21/2020 20:51
194,4,Connecticut,US,0,3/21/2020 20:51
193,2,Maryland,US,3,3/21/2020 20:51
174,3,South Carolina,US,0,3/21/2020 20:51
161,2,Nevada,US,0,3/21/2020 20:51
158,4,Virginia,US,0,3/21/2020 20:51
140,1,Mississippi,US,0,3/21/2020 20:51
138,4,Oregon,US,0,3/21/2020 20:51
137,1,Minnesota,US,0,3/21/2020 20:51
136,0,Utah,US,0,3/21/2020 20:51
131,0,Alabama,US,0,3/21/2020 20:51
128,4,Indiana,US,0,3/21/2020 20:51
122,0,Arkansas,US,0,3/21/2020 20:51
104,1,Arizona,US,1,3/21/2020 20:51
87,3,Kentucky,US,1,3/21/2020 20:51
80,3,Missouri,US,0,3/21/2020 20:51
77,1,Washington DC,US,0,3/21/2020 20:51
70,0,Maine,US,0,3/21/2020 20:51
68,0,Iowa,US,0,3/21/2020 20:51
66,0,Rhode Island,US,0,3/21/2020 20:51
65,0,New Hampshire,US,0,3/21/2020 20:51
57,2,Kansas,US,0,3/21/2020 20:51
57,0,New Mexico,US,0,3/21/2020 20:51
53,1,Oklahoma,US,0,3/21/2020 20:51
49,0,From Diamond Princess cruise,US,0,3/21/2020 20:51
49,2,Vermont,US,0,3/21/2020 20:51
45,0,Delaware,US,0,3/21/2020 20:51
38,0,Nebraska,US,0,3/21/2020 20:51
37,0,Hawaii,US,0,3/21/2020 20:51
36,0,Idaho,US,0,3/21/2020 20:51
28,0,North Dakota,US,0,3/21/2020 20:51
27,0,Montana,US,0,3/21/2020 20:51
23,1,From Grand Princess,US,0,3/21/2020 20:51
23,0,Wyoming,US,0,3/21/2020 20:51
21,1,,,0,3/21/2020 20:51
15,0,,,0,3/21/2020 20:51
14,1,South Dakota,US,0,3/21/2020 20:51
14,0,Alaska,US,0,3/21/2020 20:51
11,0,West Virginia,US,0,3/21/2020 20:51
6,0,,,0,3/21/2020 20:51
1329,20,,,0,3/21/2020 20:51
424,10,British Columbia,Canada,4,3/21/2020 20:51
377,3,Ontario,Canada,5,3/21/2020 20:51
226,1,Alberta,Canada,0,3/21/2020 20:51
181,5,Quebec,Canada,0,3/21/2020 20:51
44,0,Saskatchewan,Canada,0,3/21/2020 20:51
21,0,Nova Scotia,Canada,0,3/21/2020 20:51
18,0,Manitoba,Canada,0,3/21/2020 20:51
17,0,New Brunswick,Canada,0,3/21/2020 20:51
12,0,,,0,3/21/2020 20:51
6,0,Newfoundland and Labrador,Canada,0,3/21/2020 20:51
2,0,Prince Edward Island,Canada,0,3/21/2020 20:51
1,0,,,0,3/21/2020 20:51
0,1,,,0,3/21/2020 20:51
81008,3255,,China,71740,3/21/2020 20:51
53578,4825,,Italy,6072,3/21/2020 20:51
25496,1378,,Spain,2125,3/21/2020 20:51
22364,84,,Germany,209,3/21/2020 20:51
20610,1556,,Iran,7635,3/21/2020 20:51
14459,562,,France,1587,3/21/2020 20:51
8799,102,,South Korea,2612,3/21/2020 20:51
6863,80,,Switzerland,131,3/21/2020 20:51
5018,233,,UK,93,3/21/2020 20:51
3631,136,,Netherlands,2,3/21/2020 20:51
2992,8,,Austria,9,3/21/2020 20:51
2815,67,Brussels,Belgium,263,3/21/2020 20:51
2164,7,,Norway,6,3/21/2020 20:51
1770,20,,Sweden,16,3/21/2020 20:51
1326,13,,Denmark,1,3/21/2020 20:51
1280,12,,Portugal,5,3/21/2020 20:51
1183,8,,Malaysia,114,3/21/2020 20:51
1178,18,,Brazil,2,3/21/2020 20:51
1072,7,,Australia,46,3/21/2020 20:51
1054,36,,Japan,215,3/21/2020 20:51
995,0,,Czechia,6,3/21/2020 20:51
947,21,,Turkey,0,3/21/2020 20:51
883,1,,Israel,36,3/21/2020 20:51
785,3,,Ireland,5,3/21/2020 20:51
712,8,Yokohama,Japan,567,3/21/2020 20:51
670,8,,Luxembourg,6,3/21/2020 20:51
645,3,,Pakistan,13,3/21/2020 20:51
537,1,,Chile,8,3/21/2020 20:51
536,5,,Poland,13,3/21/2020 20:51
532,7,,Ecuador,3,3/21/2020 20:51
530,13,,Greece,19,3/21/2020 20:51
523,1,,Finland,10,3/21/2020 20:51
481,0,,Qatar,27,3/21/2020 20:51
473,1,,Iceland,5,3/21/2020 20:51
450,38,,Indonesia,20,3/21/2020 20:51
432,2,,Singapore,140,3/21/2020 20:51
411,1,,Thailand,44,3/21/2020 20:51
392,0,,Saudi Arabia,16,3/21/2020 20:51
383,1,,Slovenia,0,3/21/2020 20:51
367,0,,Romania,52,3/21/2020 20:51
332,5,,India,23,3/21/2020 20:51
318,5,,Peru,1,3/21/2020 20:51
310,1,,Bahrain,125,3/21/2020 20:51
307,19,,Philippines,13,3/21/2020 20:51
306,1,,Russia,16,3/21/2020 20:51
306,0,,Estonia,2,3/21/2020 20:51
294,10,,Egypt,42,3/21/2020 20:51
273,4,Hong Kong,Hong Kong,98,3/21/2020 20:51
245,3,,Panama,1,3/21/2020 20:51
240,0,,South Africa,2,3/21/2020 20:51
230,4,,Lebanon,8,3/21/2020 20:51
214,17,,Iraq,51,3/21/2020 20:51
206,1,,Croatia,5,3/21/2020 20:51
203,2,,Mexico,4,3/21/2020 20:51
196,0,,Colombia,1,3/21/2020 20:51
178,0,,Slovakia,7,3/21/2020 20:51
176,0,,Kuwait,27,3/21/2020 20:51
171,1,,Serbia,2,3/21/2020 20:51
163,3,,Bulgaria,3,3/21/2020 20:51
160,20,,San Marino,4,3/21/2020 20:51
160,0,,Armenia,1,3/21/2020 20:51
158,4,,Argentina,3,3/21/2020 20:51
153,2,Taiwan,Taiwan,28,3/21/2020 20:51
153,2,,United Arab Emirates,38,3/21/2020 20:51
139,15,,Algeria,65,3/21/2020 20:51
124,0,,Latvia,1,3/21/2020 20:51
117,2,,Costa Rica,2,3/21/2020 20:51
112,3,,Dominican Republic,0,3/21/2020 20:51
110,0,,Uruguay,0,3/21/2020 20:51
103,4,,Hungary,7,3/21/2020 20:51
100,0,,Jordan,1,3/21/2020 20:51
99,1,,Lithuania,1,3/21/2020 20:51
96,3,,Morocco,3,3/21/2020 20:51
94,0,,Vietnam,17,3/21/2020 20:51
93,1,,Bosnia and Herzegovina,2,3/21/2020 20:51
92,0,,Faeroe Islands,3,3/21/2020 20:51
88,0,,Andorra,1,3/21/2020 20:51
85,0,,North Macedonia,1,3/21/2020 20:51
84,1,,Cyprus,3,3/21/2020 20:51
83,0,,Brunei,1,3/21/2020 20:51
80,1,,Moldova,1,3/21/2020 20:51
77,0,,Sri Lanka,3,3/21/2020 20:51
76,2,,Albania,2,3/21/2020 20:51
76,0,,Belarus,15,3/21/2020 20:51
73,0,,Malta,2,3/21/2020 20:51
70,0,,Venezuela,15,3/21/2020 20:51
64,3,,Burkina Faso,5,3/21/2020 20:51
60,1,,Tunisia,1,3/21/2020 20:51
56,1,,Guadeloupe,0,3/21/2020 20:51
56,0,,Senegal,5,3/21/2020 20:51
