Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,US,3/29/2020 18:32,139745,2448,4435
,Italy,3/29/2020 18:32,97689,10779,13030
,Spain,3/29/2020 18:32,80031,6802,14709
,Germany,3/29/2020 18:32,62095,525,9211
,France,3/29/2020 18:32,40174,2606,7202
,Iran,3/29/2020 18:32,38309,2640,12391
,UK,3/29/2020 18:32,19522,1228,135
,Switzerland,3/29/2020 18:32,14829,300,1595
,Netherlands,3/29/2020 18:32,10866,771,250
Brussels,Belgium,3/29/2020 18:32,10836,431,1359
,South Korea,3/29/2020 18:32,9583,152,5033
,Turkey,3/29/2020 18:32,9217,131,105
,Austria,3/29/2020 18:32,8774,86,479
,Canada,3/29/2020 18:32,6280,63,508
,Portugal,3/29/2020 18:32,5962,119,43
,Norway,3/29/2020 18:32,4271,25,7
,Brazil,3/29/2020 18:32,4256,136,6
,Israel,3/29/2020 18:32,4247,15,132
,Australia,3/29/2020 18:32,3980,16,226
,Sweden,3/29/2020 18:32,3700,110,16
,Czechia,3/29/2020 18:32,2775,16,11
,Ireland,3/29/2020 18:32,2615,46,5
,Malaysia,3/29/2020 18:32,2470,35,388
,Denmark,3/29/2020 18:32,2395,72,1
,Chile,3/29/2020 18:32,2139,7,75
,Luxembourg,3/29/2020 18:32,1950,21,40
,Ecuador,3/29/2020 18:32,1890,57,3
,Japan,3/29/2020 18:32,1866,54,424
,Poland,3/29/2020 18:32,1862,22,7
,Romania,3/29/2020 18:32,1815,43,206
,Pakistan,3/29/2020 18:32,1597,14,29
,Russia,3/29/2020 18:32,1534,8,64
,Philippines,3/29/2020 18:32,1418,71,42
,Thailand,3/29/2020 18:32,1388,7,97
,Saudi Arabia,3/29/2020 18:32,1299,8,66
,Indonesia,3/29/2020 18:32,1285,114,64
,South Africa,3/29/2020 18:32,1280,2,31
,Finland,3/29/2020 18:32,1240,11,10
,Greece,3/29/2020 18:32,1156,38,52
,India,3/29/2020 18:32,1024,27,95
,Iceland,3/29/2020 18:32,1020,2,135
,Panama,3/29/2020 18:32,901,17,4
,Dominican Republic,3/29/2020 18:32,859,39,3
,Peru,3/29/2020 18:32,852,18,16
,Mexico,3/29/2020 18:32,848,16,4
,Singapore,3/29/2020 18:32,844,3,212
,Argentina,3/29/2020 18:32,745,19,72
,Serbia,3/29/2020 18:32,741,13,42
,Slovenia,3/29/2020 18:32,730,11,10
,Croatia,3/29/2020 18:32,713,6,52
Yokohama,Japan,3/29/2020 18:32,712,10,603
,Colombia,3/29/2020 18:32,702,10,10
,Estonia,3/29/2020 18:32,679,3,20
Hong Kong,Hong Kong,3/29/2020 18:32,641,4,118
,Qatar,3/29/2020 18:32,634,1,48
,Egypt,3/29/2020 18:32,609,40,132
,United Arab Emirates,3/29/2020 18:32,570,3,58
,Iraq,3/29/2020 18:32,547,42,143
,New Zealand,3/29/2020 18:32,514,1,56
,Algeria,3/29/2020 18:32,511,31,31
,Bahrain,3/29/2020 18:32,499,4,272
,Morocco,3/29/2020 18:32,479,26,13
,Ukraine,3/29/2020 18:32,475,10,6
,Lithuania,3/29/2020 18:32,460,7,1
,Lebanon,3/29/2020 18:32,438,10,30
,Armenia,3/29/2020 18:32,424,3,30
,Hungary,3/29/2020 18:32,408,13,34
,Latvia,3/29/2020 18:32,347,0,1
,Bulgaria,3/29/2020 18:32,346,8,14
,Andorra,3/29/2020 18:32,334,6,1
,Bosnia and Herzegovina,3/29/2020 18:32,323,6,8
,Costa Rica,3/29/2020 18:32,314,2,3
,Slovakia,3/29/2020 18:32,314,0,2
,Tunisia,3/29/2020 18:32,312,8,2
,Uruguay,3/29/2020 18:32,304,1,0
Taiwan,Taiwan,3/29/2020 18:32,298,2,39
,Kazakhstan,3/29/2020 18:32,284,1,20
,Moldova,3/29/2020 18:32,263,2,2
,North Macedonia,3/29/2020 18:32,259,6,3
,Jordan,3/29/2020 18:32,259,3,18
,Kuwait,3/29/2020 18:32,255,0,67
,San Marino,3/29/2020 18:32,224,22,6
,Burkina Faso,3/29/2020 18:32,222,12,23
,Cyprus,3/29/2020 18:32,214,5,15
,Albania,3/29/2020 18:32,212,10,33
,Azerbaijan,3/29/2020 18:32,209,4,15
,Vietnam,3/29/2020 18:32,188,0,25
,Reunion,3/29/2020 18:32,183,0,1
,Oman,3/29/2020 18:32,167,0,23
,Ivory Coast,3/29/2020 18:32,165,1,4
,Faeroe Islands,3/29/2020 18:32,159,0,70
,Ghana,3/29/2020 18:32,152,5,2
,Malta,3/29/2020 18:32,151,0,2
,Uzbekistan,3/29/2020 18:32,144,2,7
,Senegal,3/29/2020 18:32,142,0,27
,Cameroon,3/29/2020 18:32,139,6,5
,Cuba,3/29/2020 18:32,139,3,4
,Brunei,3/29/2020 18:32,126,1,34
,Afghanistan,3/29/2020 18:32,120,4,2
,Venezuela,3/29/2020 18:32,119,2,39
,Sri Lanka,3/29/2020 18:32,117,1,11
,Nigeria,3/29/2020 18:32,111,1,3
,Honduras,3/29/2020 18:32,110,2,3
,Channel Islands,3/29/2020 18:32,108,2,0
,Palestine,3/29/2020 18:32,108,1,18
,Mauritius,3/29/2020 18:32,107,3,0
,Cambodia,3/29/2020 18:32,103,0,21
,Guadeloupe,3/29/2020 18:32,102,2,17
,Belarus,3/29/2020 18:32,94,0,32
,Martinique,3/29/2020 18:32,93,1,0
,Georgia,3/29/2020 18:32,91,0,18
,Montenegro,3/29/2020 18:32,85,1,0
,Kyrgyzstan,3/29/2020 18:32,84,0,0
,Bolivia,3/29/2020 18:32,81,1,0
,Trinidad and Tobago,3/29/2020 18:32,78,3,1
,DRC,3/29/2020 18:32,65,6,2
,Gibraltar,3/29/2020 18:32,65,0,14
,Mayotte,3/29/2020 18:32,63,0,0
,Rwanda,3/29/2020 18:32,60,0,0
,Paraguay,3/29/2020 18:32,56,3,1
,Liechtenstein,3/29/2020 18:32,56,0,0
,Aruba,3/29/2020 18:32,50,0,1
,Bangladesh,3/29/2020 18:32,48,5,15
,Monaco,3/29/2020 18:32,43,1,1
,Kenya,3/29/2020 18:32,42,1,1
,Isle of Man,3/29/2020 18:32,42,0,0
,Madagascar,3/29/2020 18:32,39,0,0
Macau,Macau,3/29/2020 18:32,37,0,10
,Guatemala,3/29/2020 18:32,34,1,10
,Uganda,3/29/2020 18:32,33,0,0
,Jamaica,3/29/2020 18:32,32,1,2
,French Polynesia,3/29/2020 18:32,30,0,0
,Zambia,3/29/2020 18:32,29,0,0
,French Guiana,3/29/2020 18:32,28,0,6
,Barbados,3/29/2020 18:32,26,0,0
,Togo,3/29/2020 18:32,25,1,1
,El Salvador,3/29/2020 18:32,24,0,0
,Bermuda,3/29/2020 18:32,22,0,2
,Congo,3/29/2020 18:32,19,0,0
,Ethiopia,3/29/2020 18:32,19,0,1
,Mali,3/29/2020 18:32,18,1,0
,Niger,3/29/2020 18:32,18,1,0
,Djibouti,3/29/2020 18:32,18,0,0
,Maldives,3/29/2020 18:32,17,0,13
,Guinea,3/29/2020 18:32,16,0,0
,Haiti,3/29/2020 18:32,15,0,1
,New Caledonia,3/29/2020 18:32,15,0,0
,Tanzania,3/29/2020 18:32,14,0,1
,Equatorial Guinea,3/29/2020 18:32,12,0,0
,Eritrea,3/29/2020 18:32,12,0,0
,Mongolia,3/29/2020 18:32,12,0,0
,Bahamas,3/29/2020 18:32,11,0,1
,Dominica,3/29/2020 18:32,11,0,0
,Namibia,3/29/2020 18:32,11,0,2
,Saint Martin,3/29/2020 18:32,11,0,0
,Greenland,3/29/2020 18:32,10,0,2
,Myanmar,3/29/2020 18:32,10,0,0
,Syria,3/29/2020 18:32,9,1,0
,Grenada,3/29/2020 18:32,9,0,0
,Eswatini,3/29/2020 18:32,9,0,0
,Cayman Islands,3/29/2020 18:32,8,1,0
,Curacao,3/29/2020 18:32,8,1,2
,Guyana,3/29/2020 18:32,8,1,0
,Laos,3/29/2020 18:32,8,0,0
,Libya,3/29/2020 18:32,8,0,0
,Mozambique,3/29/2020 18:32,8,0,0
,Seychelles,3/29/2020 18:32,8,0,0
,Suriname,3/29/2020 18:32,8,0,0
,Angola,3/29/2020 18:32,7,2,0
,Gabon,3/29/2020 18:32,7,1,0
,Zimbabwe,3/29/2020 18:32,7,1,0
,Antigua and Barbuda,3/29/2020 18:32,7,0,0
,Cabo Verde,3/29/2020 18:32,6,1,0
,Sudan,3/29/2020 18:32,6,1,0
,Benin,3/29/2020 18:32,6,0,0
,Vatican City,3/29/2020 18:32,6,0,0
,Sint Maarten,3/29/2020 18:32,6,0,0
,Nepal,3/29/2020 18:32,5,0,1
,Fiji,3/29/2020 18:32,5,0,0
,Mauritania,3/29/2020 18:32,5,0,0
,Montserrat,3/29/2020 18:32,5,0,0
,St. Barth,3/29/2020 18:32,5,0,0
,Gambia,3/29/2020 18:32,4,1,0
,Nicaragua,3/29/2020 18:32,4,1,0
,Bhutan,3/29/2020 18:32,4,0,0
,Saint Lucia,3/29/2020 18:32,4,0,1
,Turks and Caicos,3/29/2020 18:32,4,0,0
,CAR,3/29/2020 18:32,3,0,0
,Chad,3/29/2020 18:32,3,0,0
,Liberia,3/29/2020 18:32,3,0,0
,Somalia,3/29/2020 18:32,3,0,0
,MS Zaandam,3/29/2020 18:32,2,0,0
,Anguilla,3/29/2020 18:32,2,0,0
,Belize,3/29/2020 18:32,2,0,0
,British Virgin Islands,3/29/2020 18:32,2,0,0
,Guinea-Bissau,3/29/2020 18:32,2,0,0
,Saint Kitts and Nevis,3/29/2020 18:32,2,0,0
