Confirmed,Deaths,Province/State,Country/Region,Recovered,Last Update
22112,280,,,0,3/21/2020 14:02
10356,56,New York,US,0,3/21/2020 14:02
1524,83,WA,US,1,3/21/2020 14:02
1267,24,California,US,6,3/21/2020 14:02
890,11,New Jersey,US,1,3/21/2020 14:02
659,12,Florida,US,0,3/21/2020 14:02
585,5,Illinois,US,2,3/21/2020 14:02
585,16,Louisiana,US,0,3/21/2020 14:02
554,4,Michigan,US,0,3/21/2020 14:02
504,14,Georgia,US,0,3/21/2020 14:02
439,5,Texas,US,0,3/21/2020 14:02
413,1,Massachusetts,US,1,3/21/2020 14:02
363,4,Colorado,US,0,3/21/2020 14:02
314,2,Pennsylvania,US,0,3/21/2020 14:02
300,1,Tennessee,US,0,3/21/2020 14:02
241,0,North Carolina,US,0,3/21/2020 14:02
220,4,Wisconsin,US,1,3/21/2020 14:02
194,4,Connecticut,US,0,3/21/2020 14:02
190,2,Maryland,US,3,3/21/2020 14:02
174,3,Ohio,US,0,3/21/2020 14:02
161,2,Nevada,US,0,3/21/2020 14:02
140,1,Mississippi,US,0,3/21/2020 14:02
138,1,Minnesota,US,0,3/21/2020 14:02
127,3,Indiana,US,0,3/21/2020 14:02
126,3,South Carolina,US,0,3/21/2020 14:02
125,2,Virginia,US,0,3/21/2020 14:02
124,0,Alabama,US,0,3/21/2020 14:02
114,4,Oregon,US,0,3/21/2020 14:02
112,0,Utah,US,0,3/21/2020 14:02
108,1,Arizona,US,1,3/21/2020 14:02
100,0,Arkansas,US,0,3/21/2020 14:02
77,1,Washington DC,US,0,3/21/2020 14:02
74,3,Missouri,US,0,3/21/2020 14:02
64,2,Kentucky,US,1,3/21/2020 14:02
56,0,Maine,US,0,3/21/2020 14:02
55,0,New Hampshire,US,0,3/21/2020 14:02
54,0,Rhode Island,US,0,3/21/2020 14:02
50,1,Kansas,US,0,3/21/2020 14:02
49,0,From Diamond Princess cruise,US,0,3/21/2020 14:02
49,1,Oklahoma,US,0,3/21/2020 14:02
46,0,Iowa,US,0,3/21/2020 14:02
43,0,New Mexico,US,0,3/21/2020 14:02
39,0,Delaware,US,0,3/21/2020 14:02
38,0,Nebraska,US,0,3/21/2020 14:02
37,0,Hawaii,US,0,3/21/2020 14:02
36,0,Idaho,US,0,3/21/2020 14:02
29,2,Vermont,US,0,3/21/2020 14:02
26,0,North Dakota,US,0,3/21/2020 14:02
23,1,From Grand Princess,US,0,3/21/2020 14:02
22,0,Wyoming,US,0,3/21/2020 14:02
21,0,Montana,US,0,3/21/2020 14:02
17,0,,,0,3/21/2020 14:02
15,0,,,0,3/21/2020 14:02
14,1,South Dakota,US,0,3/21/2020 14:02
14,0,Alaska,US,0,3/21/2020 14:02
8,0,West Virginia,US,0,3/21/2020 14:02
6,0,,,0,3/21/2020 14:02
1147,14,,,0,3/21/2020 14:02
377,2,Ontario,Canada,5,3/21/2020 14:02
348,9,British Columbia,Canada,4,3/21/2020 14:02
195,1,Alberta,Canada,0,3/21/2020 14:02
139,1,Quebec,Canada,0,3/21/2020 14:02
26,0,Saskatchewan,Canada,0,3/21/2020 14:02
18,0,Manitoba,Canada,0,3/21/2020 14:02
15,0,Nova Scotia,Canada,0,3/21/2020 14:02
12,0,,,0,3/21/2020 14:02
11,0,New Brunswick,Canada,0,3/21/2020 14:02
4,0,Newfoundland and Labrador,Canada,0,3/21/2020 14:02
2,0,Prince Edward Island,Canada,0,3/21/2020 14:02
0,1,,,0,3/21/2020 14:02
81008,3255,,China,71740,3/21/2020 14:02
47021,4032,,Italy,5129,3/21/2020 14:02
25374,1378,,Spain,2125,3/21/2020 14:02
21828,75,,Germany,209,3/21/2020 14:02
20610,1556,,Iran,7635,3/21/2020 14:02
12612,450,,France,1587,3/21/2020 14:02
8799,102,,South Korea,2612,3/21/2020 14:02
6274,66,,Switzerland,15,3/21/2020 14:02
4094,180,,UK,65,3/21/2020 14:02
3631,136,,Netherlands,2,3/21/2020 14:02
2847,8,,Austria,9,3/21/2020 14:02
2815,67,Brussels,Belgium,263,3/21/2020 14:02
2086,7,,Norway,1,3/21/2020 14:02
1764,20,,Sweden,16,3/21/2020 14:02
1326,13,,Denmark,1,3/21/2020 14:02
1280,12,,Portugal,5,3/21/2020 14:02
1183,8,,Malaysia,114,3/21/2020 14:02
1072,7,,Australia,46,3/21/2020 14:02
1021,18,,Brazil,2,3/21/2020 14:02
1007,35,,Japan,215,3/21/2020 14:02
925,0,,Czechia,6,3/21/2020 14:02
883,1,,Israel,36,3/21/2020 14:02
720,3,,Pakistan,13,3/21/2020 14:02
712,8,Yokohama,Japan,567,3/21/2020 14:02
683,3,,Ireland,5,3/21/2020 14:02
670,9,,Turkey,0,3/21/2020 14:02
670,8,,Luxembourg,6,3/21/2020 14:02
537,0,,Chile,8,3/21/2020 14:02
530,13,,Greece,19,3/21/2020 14:02
521,1,,Finland,10,3/21/2020 14:02
473,1,,Iceland,5,3/21/2020 14:02
470,0,,Qatar,10,3/21/2020 14:02
452,5,,Poland,13,3/21/2020 14:02
450,38,,Indonesia,20,3/21/2020 14:02
432,2,,Singapore,140,3/21/2020 14:02
426,7,,Ecuador,3,3/21/2020 14:02
411,1,,Thailand,44,3/21/2020 14:02
392,0,,Saudi Arabia,16,3/21/2020 14:02
383,1,,Slovenia,0,3/21/2020 14:02
367,0,,Romania,52,3/21/2020 14:02
329,5,,India,23,3/21/2020 14:02
307,19,,Philippines,13,3/21/2020 14:02
306,1,,Russia,16,3/21/2020 14:02
306,0,,Estonia,2,3/21/2020 14:02
305,1,,Bahrain,125,3/21/2020 14:02
285,8,,Egypt,42,3/21/2020 14:02
273,4,Hong Kong,Hong Kong,98,3/21/2020 14:02
263,4,,Peru,1,3/21/2020 14:02
240,0,,South Africa,2,3/21/2020 14:02
214,17,,Iraq,51,3/21/2020 14:02
206,4,,Lebanon,8,3/21/2020 14:02
206,1,,Croatia,5,3/21/2020 14:02
203,2,,Mexico,4,3/21/2020 14:02
200,1,,Panama,1,3/21/2020 14:02
196,0,,Colombia,1,3/21/2020 14:02
176,0,,Kuwait,27,3/21/2020 14:02
163,3,,Bulgaria,3,3/21/2020 14:02
160,0,,Armenia,1,3/21/2020 14:02
158,4,,Argentina,3,3/21/2020 14:02
153,2,Taiwan,Taiwan,28,3/21/2020 14:02
153,2,,United Arab Emirates,38,3/21/2020 14:02
151,20,,San Marino,4,3/21/2020 14:02
149,1,,Serbia,2,3/21/2020 14:02
146,0,,Slovakia,7,3/21/2020 14:02
139,15,,Algeria,65,3/21/2020 14:02
124,0,,Latvia,1,3/21/2020 14:02
113,2,,Costa Rica,2,3/21/2020 14:02
112,3,,Dominican Republic,0,3/21/2020 14:02
110,0,,Uruguay,0,3/21/2020 14:02
103,4,,Hungary,7,3/21/2020 14:02
94,0,,Vietnam,17,3/21/2020 14:02
93,1,,Bosnia and Herzegovina,2,3/21/2020 14:02
92,0,,Faeroe Islands,3,3/21/2020 14:02
88,0,,Andorra,1,3/21/2020 14:02
86,3,,Morocco,2,3/21/2020 14:02
85,0,,Jordan,1,3/21/2020 14:02
85,0,,North Macedonia,1,3/21/2020 14:02
84,0,,Cyprus,0,3/21/2020 14:02
83,1,,Lithuania,1,3/21/2020 14:02
83,0,,Brunei,1,3/21/2020 14:02
80,1,,Moldova,1,3/21/2020 14:02
77,0,,Sri Lanka,3,3/21/2020 14:02
76,2,,Albania,2,3/21/2020 14:02
76,0,,Belarus,15,3/21/2020 14:02
73,0,,Malta,2,3/21/2020 14:02
65,0,,Venezuela,1,3/21/2020 14:02
64,3,,Burkina Faso,5,3/21/2020 14:02
