Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,8/11/2020 23:19,6248141,238776,3374884
,0,8/11/2020 23:19,4880773,163215,3479983
,0,8/11/2020 23:19,5207210,112572,3954400
,0,8/11/2020 23:19,3084393,206825,1848787
,0,8/11/2020 23:19,1069093,23912,761619
,0,8/11/2020 23:19,24073,378,14092
,0,8/11/2020 23:19,721,15,651
,World,8/11/2020 23:19,20514404,745693,13434416
,US,8/11/2020 23:19,5305957,167749,2755348
,Brazil,8/11/2020 23:19,3112393,103099,2243124
,India,8/11/2020 23:19,2328405,46188,1638101
,Russia,8/11/2020 23:19,897599,15131,703175
,South Africa,8/11/2020 23:19,566109,10751,426125
,Mexico,8/11/2020 23:19,492522,53929,332800
,Peru,8/11/2020 23:19,483133,21276,329404
,Colombia,8/11/2020 23:19,410453,13475,230427
,Chile,8/11/2020 23:19,376616,10178,349541
,Spain,8/11/2020 23:19,373692,28581,0
,Iran,8/11/2020 23:19,331189,18800,288620
,UK,8/11/2020 23:19,312789,46628,0
,Saudi Arabia,8/11/2020 23:19,291468,3233,255118
,Pakistan,8/11/2020 23:19,285191,6112,261246
,Bangladesh,8/11/2020 23:19,263503,3471,151972
,Argentina,8/11/2020 23:19,260911,5004,181389
,Italy,8/11/2020 23:19,251237,35215,202461
,Turkey,8/11/2020 23:19,243180,5873,226155
,Germany,8/11/2020 23:19,219530,9268,199900
,France,8/11/2020 23:19,204172,30354,82836
,Iraq,8/11/2020 23:19,156995,5531,112102
,Philippines,8/11/2020 23:19,139538,2312,68432
,Indonesia,8/11/2020 23:19,128776,5824,83710
,Canada,8/11/2020 23:19,120421,8991,106746
,Qatar,8/11/2020 23:19,113646,188,110324
,Kazakhstan,8/11/2020 23:19,100164,1269,73702
,Egypt,8/11/2020 23:19,95834,5059,54888
,Ecuador,8/11/2020 23:19,95563,5951,78610
,Bolivia,8/11/2020 23:19,93328,3761,31753
,Israel,8/11/2020 23:19,86593,622,60080
,Sweden,8/11/2020 23:19,83126,5770,0
,Ukraine,8/11/2020 23:19,83115,1951,44934
,Oman,8/11/2020 23:19,82050,533,76720
,Dominican Republic,8/11/2020 23:19,81094,1346,45666
,Panama,8/11/2020 23:19,76464,1680,50665
Brussels,Belgium,8/11/2020 23:19,75008,9885,17841
,Kuwait,8/11/2020 23:19,73068,486,64759
,Belarus,8/11/2020 23:19,69005,592,65219
,Romania,8/11/2020 23:19,63762,2764,30585
,United Arab Emirates,8/11/2020 23:19,62966,358,56961
,Netherlands,8/11/2020 23:19,59973,6159,0
,Guatemala,8/11/2020 23:19,57966,2233,46442
,Singapore,8/11/2020 23:19,55353,27,50128
,Poland,8/11/2020 23:19,52961,1821,37150
,Portugal,8/11/2020 23:19,52945,1761,38760
,Japan,8/11/2020 23:19,48928,1052,33975
,Honduras,8/11/2020 23:19,47872,1506,6649
,Nigeria,8/11/2020 23:19,47290,956,33609
,Bahrain,8/11/2020 23:19,44804,165,41504
,Ghana,8/11/2020 23:19,41404,215,39055
,Armenia,8/11/2020 23:19,40593,803,33157
,Kyrgyzstan,8/11/2020 23:19,40455,1478,32734
,Afghanistan,8/11/2020 23:19,37269,1344,26415
,Switzerland,8/11/2020 23:19,36895,1990,32400
,Algeria,8/11/2020 23:19,36204,1322,25263
,Morocco,8/11/2020 23:19,35195,533,25385
,Azerbaijan,8/11/2020 23:19,33731,495,30856
,Uzbekistan,8/11/2020 23:19,31747,204,23704
,Serbia,8/11/2020 23:19,28497,652,18965
,Moldova,8/11/2020 23:19,28223,857,19740
,Venezuela,8/11/2020 23:19,27938,238,19706
,Kenya,8/11/2020 23:19,27425,438,13867
,Ireland,8/11/2020 23:19,26801,1773,23364
,Costa Rica,8/11/2020 23:19,24508,255,7971
,Ethiopia,8/11/2020 23:19,24175,440,10696
,Nepal,8/11/2020 23:19,23948,83,16664
,Austria,8/11/2020 23:19,22245,723,20123
,Australia,8/11/2020 23:19,22127,352,12393
,El Salvador,8/11/2020 23:19,21269,570,9875
,Czechia,8/11/2020 23:19,18783,391,13222
,Cameroon,8/11/2020 23:19,18213,398,15320
,Ivory Coast,8/11/2020 23:19,16847,105,13321
,Denmark,8/11/2020 23:19,14959,621,12988
,Palestine,8/11/2020 23:19,14875,104,8181
,South Korea,8/11/2020 23:19,14714,305,13786
,Bosnia and Herzegovina,8/11/2020 23:19,14708,447,8411
,Bulgaria,8/11/2020 23:19,13722,471,8154
,Madagascar,8/11/2020 23:19,13317,152,11276
,North Macedonia,8/11/2020 23:19,12083,529,8248
,Sudan,8/11/2020 23:19,12033,786,6282
,Senegal,8/11/2020 23:19,11380,238,7449
,Norway,8/11/2020 23:19,9751,256,8857
,DRC,8/11/2020 23:19,9499,225,8375
,Malaysia,8/11/2020 23:19,9103,125,8809
