Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,6/19/2020 22:27,2658492,152540,1187213
,0,6/19/2020 22:27,1700200,68812,915077
,0,6/19/2020 22:27,2283096,186934,1235008
,0,6/19/2020 22:27,1816411,46363,1143185
,0,6/19/2020 22:27,288812,7713,135176
,0,6/19/2020 22:27,9025,124,8467
,0,6/19/2020 22:27,721,15,651
,World,6/19/2020 22:27,8756757,462501,4624777
,US,6/19/2020 22:27,2297190,121407,956061
,Brazil,6/19/2020 22:27,1038568,49090,520360
,Russia,6/19/2020 22:27,569063,7841,324406
,India,6/19/2020 22:27,395812,12970,214206
,UK,6/19/2020 22:27,301815,42461,0
,Spain,6/19/2020 22:27,292655,28315,0
,Peru,6/19/2020 22:27,247925,7660,135520
,Italy,6/19/2020 22:27,238011,34561,181907
,Chile,6/19/2020 22:27,231393,4093,191491
,Iran,6/19/2020 22:27,200262,9392,159192
,Germany,6/19/2020 22:27,190660,8960,174400
,Turkey,6/19/2020 22:27,185245,4905,157516
,Mexico,6/19/2020 22:27,170485,20394,127332
,Pakistan,6/19/2020 22:27,165062,3229,61383
,France,6/19/2020 22:27,159452,29617,74117
,Saudi Arabia,6/19/2020 22:27,150292,1184,95764
,Bangladesh,6/19/2020 22:27,105535,1388,42945
,Canada,6/19/2020 22:27,100629,8346,63003
,South Africa,6/19/2020 22:27,87715,1831,47825
,Qatar,6/19/2020 22:27,85462,93,65409
,Colombia,6/19/2020 22:27,63276,2045,23988
Brussels,Belgium,6/19/2020 22:27,60476,9695,16751
,Belarus,6/19/2020 22:27,57333,337,35275
,Sweden,6/19/2020 22:27,56043,5053,0
,Egypt,6/19/2020 22:27,52211,2017,13928
,Ecuador,6/19/2020 22:27,49731,4156,24446
,Netherlands,6/19/2020 22:27,49426,6081,0
,United Arab Emirates,6/19/2020 22:27,44145,300,30996
,Indonesia,6/19/2020 22:27,43803,2373,17349
,Singapore,6/19/2020 22:27,41615,26,33459
,Argentina,6/19/2020 22:27,39570,979,11851
,Kuwait,6/19/2020 22:27,38678,313,30190
,Portugal,6/19/2020 22:27,38464,1527,24477
,Ukraine,6/19/2020 22:27,34984,985,16033
,Poland,6/19/2020 22:27,31316,1334,15698
,Switzerland,6/19/2020 22:27,31235,1956,28900
,Philippines,6/19/2020 22:27,28459,1130,7378
,Afghanistan,6/19/2020 22:27,27878,548,7962
,Oman,6/19/2020 22:27,27670,125,13974
,Iraq,6/19/2020 22:27,27352,925,12205
,Ireland,6/19/2020 22:27,25368,1714,22698
,Dominican Republic,6/19/2020 22:27,25068,647,14605
,Panama,6/19/2020 22:27,24274,485,14359
,Romania,6/19/2020 22:27,23400,1484,16555
,Bolivia,6/19/2020 22:27,21499,697,4002
,Bahrain,6/19/2020 22:27,20916,57,15287
,Israel,6/19/2020 22:27,20339,304,15586
,Armenia,6/19/2020 22:27,19157,319,8266
