Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,4/21/2020 20:51,878291,48346,100300
,0,4/21/2020 20:51,1139839,107853,344820
,0,4/21/2020 20:51,409880,15491,191957
,0,4/21/2020 20:51,91144,4308,38418
,0,4/21/2020 20:51,8190,84,5746
,0,4/21/2020 20:51,25370,1196,6770
,0,4/21/2020 20:51,721,15,644
,World,4/21/2020 20:51,2553435,177293,688655
,US,4/21/2020 20:51,817187,45229,82860
,Spain,4/21/2020 20:51,204178,21282,82514
,Italy,4/21/2020 20:51,183957,24648,51600
,France,4/21/2020 20:51,158050,20796,39181
,Germany,4/21/2020 20:51,148291,5033,95200
,UK,4/21/2020 20:51,129044,17337,0
,Turkey,4/21/2020 20:51,95591,2259,14918
,Iran,4/21/2020 20:51,84802,5297,60965
,Russia,4/21/2020 20:51,52763,456,3873
,Brazil,4/21/2020 20:51,43079,2741,22991
Brussels,Belgium,4/21/2020 20:51,40956,5998,9002
,Canada,4/21/2020 20:51,38422,1833,13143
,Netherlands,4/21/2020 20:51,34134,3916,0
,Switzerland,4/21/2020 20:51,28063,1478,19400
,Portugal,4/21/2020 20:51,21379,762,917
,India,4/21/2020 20:51,20080,645,3975
,Peru,4/21/2020 20:51,17837,484,6982
,Ireland,4/21/2020 20:51,16040,730,9233
,Sweden,4/21/2020 20:51,15322,1765,550
,Austria,4/21/2020 20:51,14873,491,10971
,Israel,4/21/2020 20:51,13942,184,4507
,Saudi Arabia,4/21/2020 20:51,11631,109,1640
,Japan,4/21/2020 20:51,11135,263,1239
,Chile,4/21/2020 20:51,10832,147,4969
,South Korea,4/21/2020 20:51,10683,237,8213
,Ecuador,4/21/2020 20:51,10398,520,1207
,Poland,4/21/2020 20:51,9856,401,1297
,Pakistan,4/21/2020 20:51,9565,201,2073
,Romania,4/21/2020 20:51,9242,498,2153
,Singapore,4/21/2020 20:51,9125,11,839
,Mexico,4/21/2020 20:51,8772,712,2627
,United Arab Emirates,4/21/2020 20:51,7755,46,1443
,Denmark,4/21/2020 20:51,7695,370,4700
,Norway,4/21/2020 20:51,7191,182,32
,Indonesia,4/21/2020 20:51,7135,616,842
,Czechia,4/21/2020 20:51,7033,201,1753
,Serbia,4/21/2020 20:51,6890,130,977
,Belarus,4/21/2020 20:51,6723,55,577
,Australia,4/21/2020 20:51,6645,71,4685
,Philippines,4/21/2020 20:51,6599,437,654
,Qatar,4/21/2020 20:51,6533,9,614
,Ukraine,4/21/2020 20:51,6125,161,367
,Malaysia,4/21/2020 20:51,5482,92,3349
,Dominican Republic,4/21/2020 20:51,5044,245,463
,Panama,4/21/2020 20:51,4658,136,204
,Colombia,4/21/2020 20:51,4149,196,804
,Finland,4/21/2020 20:51,4014,141,2000
,Luxembourg,4/21/2020 20:51,3618,78,670
,Egypt,4/21/2020 20:51,3490,264,870
,South Africa,4/21/2020 20:51,3465,58,1055
,Bangladesh,4/21/2020 20:51,3382,110,87
,Morocco,4/21/2020 20:51,3209,145,393
,Argentina,4/21/2020 20:51,3031,147,840
,Algeria,4/21/2020 20:51,2811,392,1152
,Thailand,4/21/2020 20:51,2811,48,2108
,Moldova,4/21/2020 20:51,2614,72,505
,Greece,4/21/2020 20:51,2401,121,577
,Hungary,4/21/2020 20:51,2098,213,287
,Kuwait,4/21/2020 20:51,2080,11,412
,Kazakhstan,4/21/2020 20:51,1995,19,489
,Bahrain,4/21/2020 20:51,1973,7,784
,Croatia,4/21/2020 20:51,1908,48,801
,Iceland,4/21/2020 20:51,1778,10,1417
,Uzbekistan,4/21/2020 20:51,1678,6,357
,Iraq,4/21/2020 20:51,1602,83,1096
,Estonia,4/21/2020 20:51,1552,43,169
,Oman,4/21/2020 20:51,1508,8,238
,Azerbaijan,4/21/2020 20:51,1480,20,865
,New Zealand,4/21/2020 20:51,1445,13,1006
,Armenia,4/21/2020 20:51,1401,24,609
,Lithuania,4/21/2020 20:51,1350,38,298
,Slovenia,4/21/2020 20:51,1344,77,197
,Bosnia and Herzegovina,4/21/2020 20:51,1342,51,437
,North Macedonia,4/21/2020 20:51,1231,55,224
,Slovakia,4/21/2020 20:51,1199,14,258
,Cameroon,4/21/2020 20:51,1163,43,329
,Cuba,4/21/2020 20:51,1137,38,309
,Afghanistan,4/21/2020 20:51,1092,36,150
,Ghana,4/21/2020 20:51,1042,9,99
Hong Kong,Hong Kong,4/21/2020 20:51,1030,4,650
,Bulgaria,4/21/2020 20:51,975,45,170
,Djibouti,4/21/2020 20:51,945,2,112
,Ivory Coast,4/21/2020 20:51,916,13,303
,Tunisia,4/21/2020 20:51,901,38,170
,Cyprus,4/21/2020 20:51,784,12,98
,Nigeria,4/21/2020 20:51,782,25,197
,Latvia,4/21/2020 20:51,748,9,133
,Andorra,4/21/2020 20:51,717,37,282
Yokohama,Japan,4/21/2020 20:51,712,13,644
,Guinea,4/21/2020 20:51,688,6,127
,Lebanon,4/21/2020 20:51,677,21,108
,Costa Rica,4/21/2020 20:51,669,6,150
,Niger,4/21/2020 20:51,657,20,127
,Albania,4/21/2020 20:51,609,26,345
,Burkina Faso,4/21/2020 20:51,600,38,362
,Bolivia,4/21/2020 20:51,598,34,37
,Kyrgyzstan,4/21/2020 20:51,590,7,216
,Uruguay,4/21/2020 20:51,543,12,324
,Channel Islands,4/21/2020 20:51,496,24,256
,Honduras,4/21/2020 20:51,494,46,29
,San Marino,4/21/2020 20:51,476,40,62
,Palestine,4/21/2020 20:51,466,4,71
,Malta,4/21/2020 20:51,443,3,150
